country,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se,X1,iso,AgrGDP,Pop,TotGDP,gdpCAP_wdi,gdpCAPppp_wdi,NonAgrGDP,growthWDI,AgrGDPgrowth,AgrGDPgrowthCap,TotGDPgrowth,TotGDPgrowthCap,NonAgrGDPgrowth,NonAgrGDPgrowthCap,firstyrWDIppp,GDPpctile_WDIppp,firstyrWDI,GDPpctile_WDI,continent,OilGDP,oil,gdpCAPppp,rgdpCAPgr,fid,UDel_temp_popweight,UDel_precip_popweight,UDel_precip_popweight_2,wdinomiss,_yi_isoXtim_2,_yi_isoXtim_3,temp_sq,time_trend,time_trend_sq,gdp_sq,temp_third,prec_third,gdp_pc_non_ppp,gdp_pc_non_ppp_sq,agri_share,avg_agri_share,Country Name,Indicator Name,Indicator Code,X65,agri_emp,avg_agri_emp,Above50,agri_bottom25,agri_25_50,agri_50_75,agri_top25,min_year,int_2007,agri_top50,agri_b25,agri_m_25_50,agri_m_50_75,agri_top_25
Afghanistan,2007,31.3,3.2,32.9,3.4,NA,NA,NA,NA,58,AFG,2102673844,26349243,7533698917,285.9170913,1297.820761,5431025152,0.10112076997757,0.13710418343544,0.109478190541267,0.128746762871742,0.10112076997757,0.125529810786247,0.0979038253426552,2002,6,2002,3,SEAS,NA,0,NA,NA,2,12.91,0.36143000000000003,0.1306316449,11,0,47,166.6681,48,2304,NA,2151.685171,47214195.416207,285.91709131833505,81748.58310793714,0.2791024524825724,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,59.8330001831055,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Afghanistan,2008,31.3,3.2,33,3.4,NA,NA,NA,NA,59,AFG,1789023928,27032197,7805768540,288.7581997,1310.71698,6016744448,0.00988778006285429,-0.161539614200592,-0.187128707766533,0.0354768708348274,0.00988778006285429,0.102418415248394,0.0768293216824532,2002,6,2002,3,SEAS,NA,0,NA,NA,2,13.2,0.35951,0.1292474401,11,0,48,174.23999999999998,49,2401,NA,2299.968,46465747.190350994,288.7581997127352,83381.29790133986,0.22919254123822635,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,59.2939987182617,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Afghanistan,2009,31.3,3.3,33,3.5,NA,NA,NA,NA,60,AFG,2586310442,27708187,9446591725,340.9314267,1547.539119,6860281344,0.166091710329056,0.368562132120132,0.343862861394882,0.190790995955467,0.166091710329056,0.131202131509781,0.106502838432789,2002,6,2002,3,SEAS,NA,0,NA,NA,2,12.85,0.35368,0.1250895424,11,0,49,165.1225,50,2500,NA,2121.8241249999996,44241669.356032,340.9314266934895,116234.23770725822,0.2737823881131054,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,53.5309982299805,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Afghanistan,2010,31.4,3.3,33.1,3.5,NA,NA,NA,NA,61,AFG,2421464060,28397812,10243250246,360.7056151,1637.29714,7821786112,0.0563807934522629,-0.0658599808812141,-0.0904441475868225,0.0809649601578712,0.0563807934522629,0.131164476275444,0.106580309569836,2002,6,2002,3,SEAS,NA,0,NA,NA,2,14.24,0.23791,0.0566011681,11,0,50,202.7776,51,2601,NA,2887.5530240000003,13465983.902671,360.70561513682816,130108.5407912376,0.2363960658820753,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,48.8380012512207,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Afghanistan,2011,31.4,3.4,33.1,3.5,NA,NA,NA,NA,62,AFG,2237654001,29105480,10869490318,373.4516771,1695.153436,8631836672,0.0347264632582664,-0.0789443477988243,-0.103558719158173,0.0593408346176147,0.0347264632582664,0.0985443741083145,0.0739300027489662,2002,6,2002,3,SEAS,NA,0,NA,NA,NA,NA,NA,NA,11,0,51,NA,52,2704,NA,NA,NA,373.4516770724963,139466.15510826005,0.20586558665905608,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,44.5379981994629,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Afghanistan,2012,31.4,3.4,33.1,3.6,NA,NA,NA,NA,63,AFG,2645461730,29824536,12438473123,417.0550423,1893.075681,9793011712,0.110429592430592,0.167417615652084,0.143012687563896,0.13483452796936,0.110429592430592,0.126211732625961,0.101806797087193,2002,6,2002,3,SEAS,NA,0,NA,NA,NA,NA,NA,NA,11,0,52,NA,53,2809,NA,NA,NA,417.05504229805956,173934.90830623626,0.2126838000002004,0.239503805729206,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,38.8779983520508,50.818665822347015,1,0,0,0,1,2007,1,1,0,0,0,1
Albania,1996,37.8,2.5,44.6,4.8,NA,NA,NA,NA,133,ALB,1551063517,3168033,5388301602,1700.835061,4406.554942,3837238016,0.0933098196983337,0.0295119974762201,0.035727109760046,0.087094709277153,0.0933098196983337,0.111345268785954,0.117560379207134,1990,41,1980,42,EECA,4.72280120849609,0,4361.0263671875,0.0962276458740234,5,12.8,1.23615,1.5280668225000003,33,0,0,163.84000000000003,37,1369,19018550.975304604,2097.1520000000005,1888919802.6333754,1700.8350613772016,2892839.906009989,0.2878575906783475,0.2189139492879555,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,46.9900016784668,45.48876459458296,1,0,0,1,0,1996,1,1,0,0,1,0
Albania,1997,37.9,2.5,44.7,4.9,NA,NA,NA,NA,134,ALB,1400610270,3148281,4838694838,1536.932325,3981.912701,3438084608,-0.101330906152725,-0.102032788097858,-0.0957784876227379,-0.107585214078426,-0.101330906152725,-0.109838321805,-0.10358402132988,1990,41,1980,42,EECA,4.72280120849609,0,3951.57495117188,-0.10804271697998,5,12.84,0.92372,0.8532586383999999,33,0,0,164.8656,38,1444,15614944.594729045,2116.874304,788172069.4628481,1536.9323252911668,2362160.972524913,0.289460343520841,0.2189139492879555,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,46.6969985961914,45.48876459458296,1,0,0,1,0,1996,1,1,0,0,1,0
Albania,1998,38,2.4,44.8,4.9,NA,NA,NA,NA,135,ALB,1469240172,3128530,5453209083,1743.057948,4515.946778,3983969024,0.125852584838867,0.0478373281657696,0.0541306734085083,0.119559235870838,0.125852584838867,0.147364050149918,0.153657391667366,1990,41,1980,42,EECA,4.72280120849609,0,3943.6982421875,0.0904273986816406,5,13.4,1.21711,1.4813567520999997,33,0,0,179.56,39,1521,15552755.825432777,2406.1040000000003,1802974116.5484304,1743.0579483015986,3038251.0111373784,0.2694267081341616,0.2189139492879555,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,46.5299987792969,45.48876459458296,1,0,0,1,0,1996,1,1,0,0,1,0
Albania,1999,38.1,2.4,44.9,4.8,NA,NA,NA,NA,136,ALB,1475117216,3108778,6003983200,1931.30008,5003.647976,4528865792,0.102552384138107,0.00399207789450884,0.0103256003931165,0.0962188541889191,0.102552384138107,0.128192961215973,0.134526491165161,1990,41,1980,42,EECA,4.72280120849609,0,4558.173828125,0.128695487976074,5,13.91,1.2601900000000001,1.5880788361000004,33,0,0,193.4881,40,1600,20776948.647403717,2691.419471,2001281068.4648592,1931.3000799671124,3729919.998880975,0.2456897640886137,0.2189139492879555,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,46.4010009765625,45.48876459458296,1,0,0,1,0,1996,1,1,0,0,1,0
