X1,country,variable,percentile,year,value,country_iso3,X1_1,AgrGDP,Pop,TotGDP,gdpCAP_wdi,gdpCAPppp_wdi,countryname,NonAgrGDP,growthWDI,AgrGDPgrowth,AgrGDPgrowthCap,TotGDPgrowth,TotGDPgrowthCap,NonAgrGDPgrowth,NonAgrGDPgrowthCap,firstyrWDIppp,GDPpctile_WDIppp,firstyrWDI,GDPpctile_WDI,continent,OilGDP,oil,gdpCAPppp,rgdpCAPgr,fid,UDel_temp_popweight,UDel_precip_popweight,UDel_precip_popweight_2,wdinomiss,bottom50,temp_sq,gdp_sq,temp_third,prec_third,temp_times_gdppc,prec_times_gdppc,time_trend,time_trend_sq,agri_share,avg_agri_share,Country Name,Indicator Name,Indicator Code,X65,agri_emp,avg_agri_emp,Above50,agri_bottom25,agri_25_50,agri_50_75,agri_top25,min_year,int_2007,agri_top50,agri_b25,agri_m_25_50,agri_m_50_75,agri_top_25,agri_top10,agri_b90,agri_top1,agri_b99,agri_top5,agri_b95,agri_top20,agri_b80,agri_b75,agri_b50,country_region,continent_ssaf,y_1991_MENA,y_1992_MENA,y_1993_MENA,y_1994_MENA,y_1995_MENA,y_1996_MENA,y_1997_MENA,y_1998_MENA,y_1999_MENA,y_2000_MENA,y_2001_MENA,y_2002_MENA,y_2003_MENA,y_2004_MENA,y_2005_MENA,y_2006_MENA,y_2007_MENA,y_2008_MENA,y_2009_MENA,y_2010_MENA,y_2011_MENA,y_2012_MENA,y_2013_MENA,y_1980_MENA,y_1981_MENA,y_1982_MENA,y_1983_MENA,y_1984_MENA,y_1985_MENA,y_1986_MENA,y_1987_MENA,y_1988_MENA,y_1989_MENA,y_1990_EECA,y_1991_EECA,y_1992_EECA,y_1993_EECA,y_1994_EECA,y_1995_EECA,y_1996_EECA,y_1997_EECA,y_1998_EECA,y_1999_EECA,y_2000_EECA,y_2001_EECA,y_2002_EECA,y_2003_EECA,y_2004_EECA,y_2005_EECA,y_2006_EECA,y_2007_EECA,y_2008_EECA,y_2009_EECA,y_2010_EECA,y_2011_EECA,y_2012_EECA,y_2013_EECA,y_1980_EECA,y_1981_EECA,y_1982_EECA,y_1983_EECA,y_1984_EECA,y_1985_EECA,y_1986_EECA,y_1987_EECA,y_1988_EECA,y_1989_EECA,y_1990_MA,y_1991_MA,y_1992_MA,y_1993_MA,y_1994_MA,y_1995_MA,y_1996_MA,y_1997_MA,y_1998_MA,y_1999_MA,y_2000_MA,y_2001_MA,y_2002_MA,y_2003_MA,y_2004_MA,y_2005_MA,y_2006_MA,y_2007_MA,y_2008_MA,y_2009_MA,y_2010_MA,y_2011_MA,y_2012_MA,y_2013_MA,y_1980_MA,y_1981_MA,y_1982_MA,y_1983_MA,y_1984_MA,y_1985_MA,y_1986_MA,y_1987_MA,y_1988_MA,y_1989_MA,y_1990_WEOFF,y_1991_WEOFF,y_1992_WEOFF,y_1993_WEOFF,y_1994_WEOFF,y_1995_WEOFF,y_1996_WEOFF,y_1997_WEOFF,y_1998_WEOFF,y_1999_WEOFF,y_2000_WEOFF,y_2001_WEOFF,y_2002_WEOFF,y_2003_WEOFF,y_2004_WEOFF,y_2005_WEOFF,y_2006_WEOFF,y_2007_WEOFF,y_2008_WEOFF,y_2009_WEOFF,y_2010_WEOFF,y_2011_WEOFF,y_2012_WEOFF,y_2013_WEOFF,y_1980_WEOFF,y_1981_WEOFF,y_1982_WEOFF,y_1983_WEOFF,y_1984_WEOFF,y_1985_WEOFF,y_1986_WEOFF,y_1987_WEOFF,y_1988_WEOFF,y_1989_WEOFF,y_1990_WAF,y_1991_WAF,y_1992_WAF,y_1993_WAF,y_1994_WAF,y_1995_WAF,y_1996_WAF,y_1997_WAF,y_1998_WAF,y_1999_WAF,y_2000_WAF,y_2001_WAF,y_2002_WAF,y_2003_WAF,y_2004_WAF,y_2005_WAF,y_2006_WAF,y_2007_WAF,y_2008_WAF,y_2009_WAF,y_2010_WAF,y_2011_WAF,y_2012_WAF,y_2013_WAF,y_1980_WAF,y_1981_WAF,y_1982_WAF,y_1983_WAF,y_1984_WAF,y_1985_WAF,y_1986_WAF,y_1987_WAF,y_1988_WAF,y_1989_WAF,y_1990_EAF,y_1991_EAF,y_1992_EAF,y_1993_EAF,y_1994_EAF,y_1995_EAF,y_1996_EAF,y_1997_EAF,y_1998_EAF,y_1999_EAF,y_2000_EAF,y_2001_EAF,y_2002_EAF,y_2003_EAF,y_2004_EAF,y_2005_EAF,y_2006_EAF,y_2007_EAF,y_2008_EAF,y_2009_EAF,y_2010_EAF,y_2011_EAF,y_2012_EAF,y_2013_EAF,y_1980_EAF,y_1981_EAF,y_1982_EAF,y_1983_EAF,y_1984_EAF,y_1985_EAF,y_1986_EAF,y_1987_EAF,y_1988_EAF,y_1989_EAF,y_1990_LAC,y_1991_LAC,y_1992_LAC,y_1993_LAC,y_1994_LAC,y_1995_LAC,y_1996_LAC,y_1997_LAC,y_1998_LAC,y_1999_LAC,y_2000_LAC,y_2001_LAC,y_2002_LAC,y_2003_LAC,y_2004_LAC,y_2005_LAC,y_2006_LAC,y_2007_LAC,y_2008_LAC,y_2009_LAC,y_2010_LAC,y_2011_LAC,y_2012_LAC,y_2013_LAC,y_1980_LAC,y_1981_LAC,y_1982_LAC,y_1983_LAC,y_1984_LAC,y_1985_LAC,y_1986_LAC,y_1987_LAC,y_1988_LAC,y_1989_LAC,y_1990_SAF,y_1991_SAF,y_1992_SAF,y_1993_SAF,y_1994_SAF,y_1995_SAF,y_1996_SAF,y_1997_SAF,y_1998_SAF,y_1999_SAF,y_2000_SAF,y_2001_SAF,y_2002_SAF,y_2003_SAF,y_2004_SAF,y_2005_SAF,y_2006_SAF,y_2007_SAF,y_2008_SAF,y_2009_SAF,y_2010_SAF,y_2011_SAF,y_2012_SAF,y_2013_SAF,y_1980_SAF,y_1981_SAF,y_1982_SAF,y_1983_SAF,y_1984_SAF,y_1985_SAF,y_1986_SAF,y_1987_SAF,y_1988_SAF,y_1989_SAF,y_1990_SEAS,y_1991_SEAS,y_1992_SEAS,y_1993_SEAS,y_1994_SEAS,y_1995_SEAS,y_1996_SEAS,y_1997_SEAS,y_1998_SEAS,y_1999_SEAS,y_2000_SEAS,y_2001_SEAS,y_2002_SEAS,y_2003_SEAS,y_2004_SEAS,y_2005_SEAS,y_2006_SEAS,y_2007_SEAS,y_2008_SEAS,y_2009_SEAS,y_2010_SEAS,y_2011_SEAS,y_2012_SEAS,y_2013_SEAS,y_1980_SEAS,y_1981_SEAS,y_1982_SEAS,y_1983_SEAS,y_1984_SEAS,y_1985_SEAS,y_1986_SEAS,y_1987_SEAS,y_1988_SEAS,y_1989_SEAS,agri_top30,agri_b70
1,AE,sptinc992j,p0p50,1990,0.092600003,ARE,165,NA,1806498,88257297532,48855.46374,115747.5815,United Arab Emirates,NA,0.111687190830708,NA,NA,0.168290123343468,0.111687190830708,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.73,0.13447,0.0180821809,37,0.092600003,714.4929,NA,19098.395217,2431510.865623,NA,NA,31,961,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,NA,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,AE,sptinc992j,p0p50,1991,0.092299998,ARE,166,NA,1908002,89016382609,46654.23968,110532.4768,United Arab Emirates,NA,-0.046102412045002,NA,NA,0.00856404285877943,-0.046102412045002,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.19,0.10532,0.0110923024,37,0.092299998,685.9161,NA,17964.142659,1168241.288768,NA,NA,32,1024,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,8.45499992370605,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,AE,sptinc992j,p0p50,1992,0.091899998,ARE,167,NA,2012977,91993931546,45700.43848,108272.7463,United Arab Emirates,NA,-0.0206559132784605,NA,NA,0.0329021848738194,-0.0206559132784605,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,25.64,0.17276,0.0298460176,37,0.091899998,657.4096,NA,16855.982144,5156198.000576,NA,NA,33,1089,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,8.35200023651123,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,AE,sptinc992j,p0p50,1993,0.091499999,ARE,168,NA,2121143,93154150684,43916.95924,104047.3558,United Arab Emirates,NA,-0.0398073308169842,NA,NA,0.0125330416485667,-0.0398073308169842,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.64,0.14706,0.0216266436,37,0.091499999,709.6896,NA,18906.130944,3180414.207816,NA,NA,34,1156,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,8.19999980926514,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,AE,sptinc992j,p0p50,1994,0.0911,ARE,169,NA,2232159,99578199286,44610.71066,105690.9806,United Arab Emirates,NA,0.0156734194606543,NA,NA,0.0666876062750816,0.0156734194606543,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.91,0.14676,0.0215384976,37,0.0911,724.1481,NA,19486.825371,3160989.907776,NA,NA,35,1225,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,8.08800029754639,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,AE,sptinc992j,p0p50,1995,0.090700001,ARE,170,NA,2346305,106238000000,45278.80059,107273.8085,United Arab Emirates,NA,0.0148649653419852,NA,NA,0.0647386014461517,0.014866130426526101,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.4,0.23974,0.0574752676,37,0.090700001,696.96,NA,18399.744,13779120.654424,NA,NA,36,1296,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,7.99599981307983,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,AE,sptinc992j,p0p50,1996,0.090599999,ARE,171,NA,2470810,112398000000,45490.33617,107774.9752,United Arab Emirates,NA,0.00466096680611372,NA,NA,0.0563642829656601,0.00466000149026513,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.81,0.14646,0.0214505316,37,0.090599999,718.7761,NA,19270.387241,3141644.858136,NA,NA,37,1369,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,7.98299980163574,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,AE,sptinc992j,p0p50,1997,0.090400003,ARE,172,NA,2608993,121604000000,46609.48495,110426.4446,United Arab Emirates,NA,0.0243041478097439,NA,NA,0.0787237212061882,0.0243054293096066,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,26.5,0.2663,0.07091569,37,0.090400003,702.25,NA,18609.625,18884848.247,NA,NA,38,1444,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,7.90100002288818,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,AE,sptinc992j,p0p50,1998,0.090300001,ARE,173,NA,2753498,121959000000,44292.34968,104936.7248,United Arab Emirates,NA,-0.050992090255022,NA,NA,0.00291505898348987,-0.0509927198290825,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,27.85,0.18932,0.0358420624,37,0.090300001,775.6225,NA,21601.086625,6785619.253568,NA,NA,39,1521,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,7.75799989700317,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,AE,sptinc992j,p0p50,1999,0.090099998,ARE,174,NA,2893648,125498000000,43370.30765,102752.2376,United Arab Emirates,NA,-0.0210369173437357,NA,NA,0.0286048986017704,-0.0210409872233868,NA,NA,1990,100,1975,99,MENA,21.0730724334717,1,NA,NA,214,27.67,0.10114,0.0102292996,37,0.090099998,765.6289,NA,21184.951663,1034591.361544,NA,NA,40,1600,NA,0.0130689569706593,United Arab Emirates,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,NA,7.7979998588562,6.47540907426314,0,1,0,0,0,1990,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,Western Asia,MENA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
