Rainfall - (MM), Year, Statistics, Country, ISO3
1.224, 1991, Jan Average, Oman, OMN
14.6493, 1991, Feb Average, Oman, OMN
8.67213, 1991, Mar Average, Oman, OMN
0.02477, 1991, Apr Average, Oman, OMN
0.00277, 1991, May Average, Oman, OMN
5.09401, 1991, Jun Average, Oman, OMN
8.54225, 1991, Jul Average, Oman, OMN
7.64041, 1991, Aug Average, Oman, OMN
3.86853, 1991, Sep Average, Oman, OMN
0.01561, 1991, Oct Average, Oman, OMN
0.24106, 1991, Nov Average, Oman, OMN
5.67422, 1991, Dec Average, Oman, OMN
25.662, 1992, Jan Average, Oman, OMN
11.0577, 1992, Feb Average, Oman, OMN
5.86323, 1992, Mar Average, Oman, OMN
75.6112, 1992, Apr Average, Oman, OMN
1.74523, 1992, May Average, Oman, OMN
0.9548, 1992, Jun Average, Oman, OMN
5.28992, 1992, Jul Average, Oman, OMN
13.7035, 1992, Aug Average, Oman, OMN
2.1885, 1992, Sep Average, Oman, OMN
0.01719, 1992, Oct Average, Oman, OMN
0.06617, 1992, Nov Average, Oman, OMN
3.19966, 1992, Dec Average, Oman, OMN
4.47973, 1993, Jan Average, Oman, OMN
12.7828, 1993, Feb Average, Oman, OMN
1.19962, 1993, Mar Average, Oman, OMN
9.4726, 1993, Apr Average, Oman, OMN
0.00277, 1993, May Average, Oman, OMN
0.08033, 1993, Jun Average, Oman, OMN
3.70737, 1993, Jul Average, Oman, OMN
8.32679, 1993, Aug Average, Oman, OMN
2.1885, 1993, Sep Average, Oman, OMN
0.01371, 1993, Oct Average, Oman, OMN
0.00046, 1993, Nov Average, Oman, OMN
0.29109, 1993, Dec Average, Oman, OMN
6.94705, 1994, Jan Average, Oman, OMN
0.01137, 1994, Feb Average, Oman, OMN
0.5389, 1994, Mar Average, Oman, OMN
0.44652, 1994, Apr Average, Oman, OMN
0.42835, 1994, May Average, Oman, OMN
2.79585, 1994, Jun Average, Oman, OMN
21.095, 1994, Jul Average, Oman, OMN
8.13073, 1994, Aug Average, Oman, OMN
3.69832, 1994, Sep Average, Oman, OMN
0.01436, 1994, Oct Average, Oman, OMN
0.99926, 1994, Nov Average, Oman, OMN
0.83652, 1994, Dec Average, Oman, OMN
4.07512, 1995, Jan Average, Oman, OMN
6.87053, 1995, Feb Average, Oman, OMN
68.8681, 1995, Mar Average, Oman, OMN
9.407, 1995, Apr Average, Oman, OMN
0.00452, 1995, May Average, Oman, OMN
0.40033, 1995, Jun Average, Oman, OMN
31.1897, 1995, Jul Average, Oman, OMN
10.2878, 1995, Aug Average, Oman, OMN
0.06135, 1995, Sep Average, Oman, OMN
0.01688, 1995, Oct Average, Oman, OMN
0.06036, 1995, Nov Average, Oman, OMN
18.3631, 1995, Dec Average, Oman, OMN
6.60688, 1996, Jan Average, Oman, OMN
6.57919, 1996, Feb Average, Oman, OMN
14.3401, 1996, Mar Average, Oman, OMN
1.8303, 1996, Apr Average, Oman, OMN
4.27317, 1996, May Average, Oman, OMN
81.1064, 1996, Jun Average, Oman, OMN
13.8592, 1996, Jul Average, Oman, OMN
10.4117, 1996, Aug Average, Oman, OMN
1.68639, 1996, Sep Average, Oman, OMN
0.0143, 1996, Oct Average, Oman, OMN
0.04673, 1996, Nov Average, Oman, OMN
1.1827, 1996, Dec Average, Oman, OMN
4.53317, 1997, Jan Average, Oman, OMN
0.01869, 1997, Feb Average, Oman, OMN
82.3652, 1997, Mar Average, Oman, OMN
15.8181, 1997, Apr Average, Oman, OMN
0.08534, 1997, May Average, Oman, OMN
15.5023, 1997, Jun Average, Oman, OMN
3.98115, 1997, Jul Average, Oman, OMN
14.3023, 1997, Aug Average, Oman, OMN
0.11832, 1997, Sep Average, Oman, OMN
1.40709, 1997, Oct Average, Oman, OMN
23.2557, 1997, Nov Average, Oman, OMN
6.82648, 1997, Dec Average, Oman, OMN
10.2133, 1998, Jan Average, Oman, OMN
10.4533, 1998, Feb Average, Oman, OMN
3.77027, 1998, Mar Average, Oman, OMN
4.56393, 1998, Apr Average, Oman, OMN
0.00277, 1998, May Average, Oman, OMN
1.59325, 1998, Jun Average, Oman, OMN
6.14256, 1998, Jul Average, Oman, OMN
7.90808, 1998, Aug Average, Oman, OMN
5.60248, 1998, Sep Average, Oman, OMN
0.5403, 1998, Oct Average, Oman, OMN
0.00046, 1998, Nov Average, Oman, OMN
14.7082, 1998, Dec Average, Oman, OMN
6.24702, 1999, Jan Average, Oman, OMN
12.5257, 1999, Feb Average, Oman, OMN
11.9423, 1999, Mar Average, Oman, OMN
0.00562, 1999, Apr Average, Oman, OMN
0.00277, 1999, May Average, Oman, OMN
1.43272, 1999, Jun Average, Oman, OMN
7.27717, 1999, Jul Average, Oman, OMN
