Rainfall - (MM), Year, Statistics, Country, ISO3
371.707, 1991, Jan Average, Samoa, WSM
741.59, 1991, Feb Average, Samoa, WSM
257.38, 1991, Mar Average, Samoa, WSM
168.963, 1991, Apr Average, Samoa, WSM
211.889, 1991, May Average, Samoa, WSM
155.434, 1991, Jun Average, Samoa, WSM
157.316, 1991, Jul Average, Samoa, WSM
113.384, 1991, Aug Average, Samoa, WSM
39.8928, 1991, Sep Average, Samoa, WSM
187.242, 1991, Oct Average, Samoa, WSM
334.333, 1991, Nov Average, Samoa, WSM
514.882, 1991, Dec Average, Samoa, WSM
239.77, 1992, Jan Average, Samoa, WSM
369.091, 1992, Feb Average, Samoa, WSM
392.941, 1992, Mar Average, Samoa, WSM
445.572, 1992, Apr Average, Samoa, WSM
252.751, 1992, May Average, Samoa, WSM
61.855, 1992, Jun Average, Samoa, WSM
151.446, 1992, Jul Average, Samoa, WSM
208.287, 1992, Aug Average, Samoa, WSM
178.502, 1992, Sep Average, Samoa, WSM
186.805, 1992, Oct Average, Samoa, WSM
360.002, 1992, Nov Average, Samoa, WSM
419.719, 1992, Dec Average, Samoa, WSM
347.714, 1993, Jan Average, Samoa, WSM
340.01, 1993, Feb Average, Samoa, WSM
496.171, 1993, Mar Average, Samoa, WSM
265.414, 1993, Apr Average, Samoa, WSM
187.388, 1993, May Average, Samoa, WSM
124.238, 1993, Jun Average, Samoa, WSM
77.4709, 1993, Jul Average, Samoa, WSM
172.461, 1993, Aug Average, Samoa, WSM
243.719, 1993, Sep Average, Samoa, WSM
280.978, 1993, Oct Average, Samoa, WSM
212.122, 1993, Nov Average, Samoa, WSM
335.901, 1993, Dec Average, Samoa, WSM
291.988, 1994, Jan Average, Samoa, WSM
184.46, 1994, Feb Average, Samoa, WSM
273.187, 1994, Mar Average, Samoa, WSM
366.404, 1994, Apr Average, Samoa, WSM
345.091, 1994, May Average, Samoa, WSM
113.424, 1994, Jun Average, Samoa, WSM
300.757, 1994, Jul Average, Samoa, WSM
242.232, 1994, Aug Average, Samoa, WSM
248.726, 1994, Sep Average, Samoa, WSM
346.994, 1994, Oct Average, Samoa, WSM
418.126, 1994, Nov Average, Samoa, WSM
416.846, 1994, Dec Average, Samoa, WSM
339.833, 1995, Jan Average, Samoa, WSM
357.168, 1995, Feb Average, Samoa, WSM
275.26, 1995, Mar Average, Samoa, WSM
294.3, 1995, Apr Average, Samoa, WSM
182.842, 1995, May Average, Samoa, WSM
115.843, 1995, Jun Average, Samoa, WSM
308.941, 1995, Jul Average, Samoa, WSM
422.184, 1995, Aug Average, Samoa, WSM
194.357, 1995, Sep Average, Samoa, WSM
169.271, 1995, Oct Average, Samoa, WSM
323.766, 1995, Nov Average, Samoa, WSM
102.465, 1995, Dec Average, Samoa, WSM
483.185, 1996, Jan Average, Samoa, WSM
386.345, 1996, Feb Average, Samoa, WSM
351.79, 1996, Mar Average, Samoa, WSM
202.873, 1996, Apr Average, Samoa, WSM
403.175, 1996, May Average, Samoa, WSM
172.577, 1996, Jun Average, Samoa, WSM
125.928, 1996, Jul Average, Samoa, WSM
56.983, 1996, Aug Average, Samoa, WSM
234.052, 1996, Sep Average, Samoa, WSM
576.039, 1996, Oct Average, Samoa, WSM
161.929, 1996, Nov Average, Samoa, WSM
433.308, 1996, Dec Average, Samoa, WSM
733.904, 1997, Jan Average, Samoa, WSM
436.127, 1997, Feb Average, Samoa, WSM
440.122, 1997, Mar Average, Samoa, WSM
108.408, 1997, Apr Average, Samoa, WSM
168.397, 1997, May Average, Samoa, WSM
206.096, 1997, Jun Average, Samoa, WSM
101.381, 1997, Jul Average, Samoa, WSM
254.172, 1997, Aug Average, Samoa, WSM
74.9116, 1997, Sep Average, Samoa, WSM
71.6232, 1997, Oct Average, Samoa, WSM
124.828, 1997, Nov Average, Samoa, WSM
122.67, 1997, Dec Average, Samoa, WSM
181.965, 1998, Jan Average, Samoa, WSM
59.586, 1998, Feb Average, Samoa, WSM
280.937, 1998, Mar Average, Samoa, WSM
31.3899, 1998, Apr Average, Samoa, WSM
29.7468, 1998, May Average, Samoa, WSM
77.9363, 1998, Jun Average, Samoa, WSM
42.656, 1998, Jul Average, Samoa, WSM
26.6942, 1998, Aug Average, Samoa, WSM
112.487, 1998, Sep Average, Samoa, WSM
173.616, 1998, Oct Average, Samoa, WSM
