Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
15.281753, 2080-2099, bcc_csm1_1, Jan Average, Laos, LAO
14.918213, 2080-2099, bcc_csm1_1, Feb Average, Laos, LAO
26.328085, 2080-2099, bcc_csm1_1, Mar Average, Laos, LAO
58.10639, 2080-2099, bcc_csm1_1, Apr Average, Laos, LAO
213.48183, 2080-2099, bcc_csm1_1, May Average, Laos, LAO
479.0321, 2080-2099, bcc_csm1_1, Jun Average, Laos, LAO
399.8316, 2080-2099, bcc_csm1_1, Jul Average, Laos, LAO
316.3136, 2080-2099, bcc_csm1_1, Aug Average, Laos, LAO
235.82555, 2080-2099, bcc_csm1_1, Sep Average, Laos, LAO
119.66537, 2080-2099, bcc_csm1_1, Oct Average, Laos, LAO
26.162539, 2080-2099, bcc_csm1_1, Nov Average, Laos, LAO
14.0405445, 2080-2099, bcc_csm1_1, Dec Average, Laos, LAO
8.310456, 2080-2099, bcc_csm1_1_m, Jan Average, Laos, LAO
10.023784, 2080-2099, bcc_csm1_1_m, Feb Average, Laos, LAO
12.449257, 2080-2099, bcc_csm1_1_m, Mar Average, Laos, LAO
32.233067, 2080-2099, bcc_csm1_1_m, Apr Average, Laos, LAO
139.15837, 2080-2099, bcc_csm1_1_m, May Average, Laos, LAO
403.23508, 2080-2099, bcc_csm1_1_m, Jun Average, Laos, LAO
286.50403, 2080-2099, bcc_csm1_1_m, Jul Average, Laos, LAO
274.90298, 2080-2099, bcc_csm1_1_m, Aug Average, Laos, LAO
121.360695, 2080-2099, bcc_csm1_1_m, Sep Average, Laos, LAO
50.88435, 2080-2099, bcc_csm1_1_m, Oct Average, Laos, LAO
11.027984, 2080-2099, bcc_csm1_1_m, Nov Average, Laos, LAO
9.884861, 2080-2099, bcc_csm1_1_m, Dec Average, Laos, LAO
20.984343, 2080-2099, ccsm4, Jan Average, Laos, LAO
13.701549, 2080-2099, ccsm4, Feb Average, Laos, LAO
29.336292, 2080-2099, ccsm4, Mar Average, Laos, LAO
90.596, 2080-2099, ccsm4, Apr Average, Laos, LAO
198.8069, 2080-2099, ccsm4, May Average, Laos, LAO
246.41637, 2080-2099, ccsm4, Jun Average, Laos, LAO
296.318, 2080-2099, ccsm4, Jul Average, Laos, LAO
326.13434, 2080-2099, ccsm4, Aug Average, Laos, LAO
256.10675, 2080-2099, ccsm4, Sep Average, Laos, LAO
111.79193, 2080-2099, ccsm4, Oct Average, Laos, LAO
38.78912, 2080-2099, ccsm4, Nov Average, Laos, LAO
22.724277, 2080-2099, ccsm4, Dec Average, Laos, LAO
22.558626, 2080-2099, cesm1_cam5, Jan Average, Laos, LAO
9.928432, 2080-2099, cesm1_cam5, Feb Average, Laos, LAO
17.983, 2080-2099, cesm1_cam5, Mar Average, Laos, LAO
64.8903, 2080-2099, cesm1_cam5, Apr Average, Laos, LAO
117.770615, 2080-2099, cesm1_cam5, May Average, Laos, LAO
196.84439, 2080-2099, cesm1_cam5, Jun Average, Laos, LAO
216.19382, 2080-2099, cesm1_cam5, Jul Average, Laos, LAO
284.54578, 2080-2099, cesm1_cam5, Aug Average, Laos, LAO
218.67618, 2080-2099, cesm1_cam5, Sep Average, Laos, LAO
135.20216, 2080-2099, cesm1_cam5, Oct Average, Laos, LAO
45.749065, 2080-2099, cesm1_cam5, Nov Average, Laos, LAO
23.48993, 2080-2099, cesm1_cam5, Dec Average, Laos, LAO
4.750784, 2080-2099, csiro_mk3_6_0, Jan Average, Laos, LAO
6.205407, 2080-2099, csiro_mk3_6_0, Feb Average, Laos, LAO
7.3427095, 2080-2099, csiro_mk3_6_0, Mar Average, Laos, LAO
25.95421, 2080-2099, csiro_mk3_6_0, Apr Average, Laos, LAO
216.38086, 2080-2099, csiro_mk3_6_0, May Average, Laos, LAO
397.76785, 2080-2099, csiro_mk3_6_0, Jun Average, Laos, LAO
261.32404, 2080-2099, csiro_mk3_6_0, Jul Average, Laos, LAO
322.91428, 2080-2099, csiro_mk3_6_0, Aug Average, Laos, LAO
265.1027, 2080-2099, csiro_mk3_6_0, Sep Average, Laos, LAO
69.22523, 2080-2099, csiro_mk3_6_0, Oct Average, Laos, LAO
17.399427, 2080-2099, csiro_mk3_6_0, Nov Average, Laos, LAO
6.4017143, 2080-2099, csiro_mk3_6_0, Dec Average, Laos, LAO
9.580786, 2080-2099, fio_esm, Jan Average, Laos, LAO
11.05485, 2080-2099, fio_esm, Feb Average, Laos, LAO
17.142384, 2080-2099, fio_esm, Mar Average, Laos, LAO
46.9127, 2080-2099, fio_esm, Apr Average, Laos, LAO
74.67924, 2080-2099, fio_esm, May Average, Laos, LAO
149.55598, 2080-2099, fio_esm, Jun Average, Laos, LAO
204.19421, 2080-2099, fio_esm, Jul Average, Laos, LAO
245.62871, 2080-2099, fio_esm, Aug Average, Laos, LAO
186.24039, 2080-2099, fio_esm, Sep Average, Laos, LAO
68.41349, 2080-2099, fio_esm, Oct Average, Laos, LAO
16.55331, 2080-2099, fio_esm, Nov Average, Laos, LAO
12.115343, 2080-2099, fio_esm, Dec Average, Laos, LAO
13.14144, 2080-2099, gfdl_cm3, Jan Average, Laos, LAO
6.983366, 2080-2099, gfdl_cm3, Feb Average, Laos, LAO
6.5600123, 2080-2099, gfdl_cm3, Mar Average, Laos, LAO
30.06717, 2080-2099, gfdl_cm3, Apr Average, Laos, LAO
128.88416, 2080-2099, gfdl_cm3, May Average, Laos, LAO
258.05508, 2080-2099, gfdl_cm3, Jun Average, Laos, LAO
362.79254, 2080-2099, gfdl_cm3, Jul Average, Laos, LAO
396.12427, 2080-2099, gfdl_cm3, Aug Average, Laos, LAO
213.50491, 2080-2099, gfdl_cm3, Sep Average, Laos, LAO
51.89946, 2080-2099, gfdl_cm3, Oct Average, Laos, LAO
27.04354, 2080-2099, gfdl_cm3, Nov Average, Laos, LAO
21.33367, 2080-2099, gfdl_cm3, Dec Average, Laos, LAO
3.3560677, 2080-2099, gfdl_esm2m, Jan Average, Laos, LAO
5.6493387, 2080-2099, gfdl_esm2m, Feb Average, Laos, LAO
10.844235, 2080-2099, gfdl_esm2m, Mar Average, Laos, LAO
49.679928, 2080-2099, gfdl_esm2m, Apr Average, Laos, LAO
156.92992, 2080-2099, gfdl_esm2m, May Average, Laos, LAO
315.234, 2080-2099, gfdl_esm2m, Jun Average, Laos, LAO
398.29834, 2080-2099, gfdl_esm2m, Jul Average, Laos, LAO
333.3578, 2080-2099, gfdl_esm2m, Aug Average, Laos, LAO
149.47656, 2080-2099, gfdl_esm2m, Sep Average, Laos, LAO
42.35578, 2080-2099, gfdl_esm2m, Oct Average, Laos, LAO
10.454522, 2080-2099, gfdl_esm2m, Nov Average, Laos, LAO
7.7326317, 2080-2099, gfdl_esm2m, Dec Average, Laos, LAO
23.455122, 2080-2099, giss_e2_h, Jan Average, Laos, LAO
21.8004, 2080-2099, giss_e2_h, Feb Average, Laos, LAO
44.73513, 2080-2099, giss_e2_h, Mar Average, Laos, LAO
80.010025, 2080-2099, giss_e2_h, Apr Average, Laos, LAO
127.342514, 2080-2099, giss_e2_h, May Average, Laos, LAO
182.43677, 2080-2099, giss_e2_h, Jun Average, Laos, LAO
117.76273, 2080-2099, giss_e2_h, Jul Average, Laos, LAO
162.77469, 2080-2099, giss_e2_h, Aug Average, Laos, LAO
215.95276, 2080-2099, giss_e2_h, Sep Average, Laos, LAO
109.94969, 2080-2099, giss_e2_h, Oct Average, Laos, LAO
38.50232, 2080-2099, giss_e2_h, Nov Average, Laos, LAO
26.298239, 2080-2099, giss_e2_h, Dec Average, Laos, LAO
24.304094, 2080-2099, giss_e2_r, Jan Average, Laos, LAO
28.666779, 2080-2099, giss_e2_r, Feb Average, Laos, LAO
44.46358, 2080-2099, giss_e2_r, Mar Average, Laos, LAO
64.99928, 2080-2099, giss_e2_r, Apr Average, Laos, LAO
103.963165, 2080-2099, giss_e2_r, May Average, Laos, LAO
177.91847, 2080-2099, giss_e2_r, Jun Average, Laos, LAO
218.78276, 2080-2099, giss_e2_r, Jul Average, Laos, LAO
236.96573, 2080-2099, giss_e2_r, Aug Average, Laos, LAO
209.4656, 2080-2099, giss_e2_r, Sep Average, Laos, LAO
118.3802, 2080-2099, giss_e2_r, Oct Average, Laos, LAO
52.115818, 2080-2099, giss_e2_r, Nov Average, Laos, LAO
28.206429, 2080-2099, giss_e2_r, Dec Average, Laos, LAO
13.44852, 2080-2099, ipsl_cm5a_mr, Jan Average, Laos, LAO
8.747915, 2080-2099, ipsl_cm5a_mr, Feb Average, Laos, LAO
20.552061, 2080-2099, ipsl_cm5a_mr, Mar Average, Laos, LAO
62.40699, 2080-2099, ipsl_cm5a_mr, Apr Average, Laos, LAO
132.98972, 2080-2099, ipsl_cm5a_mr, May Average, Laos, LAO
186.8064, 2080-2099, ipsl_cm5a_mr, Jun Average, Laos, LAO
245.18726, 2080-2099, ipsl_cm5a_mr, Jul Average, Laos, LAO
322.7159, 2080-2099, ipsl_cm5a_mr, Aug Average, Laos, LAO
167.15135, 2080-2099, ipsl_cm5a_mr, Sep Average, Laos, LAO
81.884766, 2080-2099, ipsl_cm5a_mr, Oct Average, Laos, LAO
34.256195, 2080-2099, ipsl_cm5a_mr, Nov Average, Laos, LAO
14.943432, 2080-2099, ipsl_cm5a_mr, Dec Average, Laos, LAO
18.634039, 2080-2099, miroc_esm, Jan Average, Laos, LAO
8.143109, 2080-2099, miroc_esm, Feb Average, Laos, LAO
15.0649395, 2080-2099, miroc_esm, Mar Average, Laos, LAO
48.881104, 2080-2099, miroc_esm, Apr Average, Laos, LAO
136.49875, 2080-2099, miroc_esm, May Average, Laos, LAO
137.99445, 2080-2099, miroc_esm, Jun Average, Laos, LAO
205.24837, 2080-2099, miroc_esm, Jul Average, Laos, LAO
175.3891, 2080-2099, miroc_esm, Aug Average, Laos, LAO
139.07616, 2080-2099, miroc_esm, Sep Average, Laos, LAO
84.30169, 2080-2099, miroc_esm, Oct Average, Laos, LAO
37.191223, 2080-2099, miroc_esm, Nov Average, Laos, LAO
21.18153, 2080-2099, miroc_esm, Dec Average, Laos, LAO
15.21326, 2080-2099, miroc_esm_chem, Jan Average, Laos, LAO
8.61063, 2080-2099, miroc_esm_chem, Feb Average, Laos, LAO
9.806124, 2080-2099, miroc_esm_chem, Mar Average, Laos, LAO
38.01503, 2080-2099, miroc_esm_chem, Apr Average, Laos, LAO
152.19858, 2080-2099, miroc_esm_chem, May Average, Laos, LAO
165.8039, 2080-2099, miroc_esm_chem, Jun Average, Laos, LAO
218.96672, 2080-2099, miroc_esm_chem, Jul Average, Laos, LAO
186.86694, 2080-2099, miroc_esm_chem, Aug Average, Laos, LAO
136.69633, 2080-2099, miroc_esm_chem, Sep Average, Laos, LAO
85.30894, 2080-2099, miroc_esm_chem, Oct Average, Laos, LAO
41.189365, 2080-2099, miroc_esm_chem, Nov Average, Laos, LAO
24.215656, 2080-2099, miroc_esm_chem, Dec Average, Laos, LAO
12.981472, 2080-2099, miroc5, Jan Average, Laos, LAO
21.345123, 2080-2099, miroc5, Feb Average, Laos, LAO
41.312065, 2080-2099, miroc5, Mar Average, Laos, LAO
130.9137, 2080-2099, miroc5, Apr Average, Laos, LAO
278.47235, 2080-2099, miroc5, May Average, Laos, LAO
220.00157, 2080-2099, miroc5, Jun Average, Laos, LAO
308.32535, 2080-2099, miroc5, Jul Average, Laos, LAO
398.22244, 2080-2099, miroc5, Aug Average, Laos, LAO
298.56918, 2080-2099, miroc5, Sep Average, Laos, LAO
