Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.8755095, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
3.4607728, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
3.3101394, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
2.1699746, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
4.7939973, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
2.9906552, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
6.1846495, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
8.110293, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
5.151798, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
2.8951359, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
11.942742, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
6.034066, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
1.4859282, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
1.8099234, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
1.1756655, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
2.2781522, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
10.381089, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
18.915163, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
8.637985, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
7.7404666, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
23.159986, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
12.558304, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
14.33963, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
4.956399, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
2.9938293, 2080-2099, ccsm4, Jan Average, Oman, OMN
3.8193293, 2080-2099, ccsm4, Feb Average, Oman, OMN
3.080022, 2080-2099, ccsm4, Mar Average, Oman, OMN
5.2822595, 2080-2099, ccsm4, Apr Average, Oman, OMN
3.9077387, 2080-2099, ccsm4, May Average, Oman, OMN
8.732915, 2080-2099, ccsm4, Jun Average, Oman, OMN
42.308643, 2080-2099, ccsm4, Jul Average, Oman, OMN
48.810486, 2080-2099, ccsm4, Aug Average, Oman, OMN
48.44084, 2080-2099, ccsm4, Sep Average, Oman, OMN
18.754347, 2080-2099, ccsm4, Oct Average, Oman, OMN
9.159044, 2080-2099, ccsm4, Nov Average, Oman, OMN
12.834721, 2080-2099, ccsm4, Dec Average, Oman, OMN
1.4579402, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
0.7699914, 2080-2099, cesm1_cam5, Feb Average, Oman, OMN
3.683048, 2080-2099, cesm1_cam5, Mar Average, Oman, OMN
4.6268682, 2080-2099, cesm1_cam5, Apr Average, Oman, OMN
9.765268, 2080-2099, cesm1_cam5, May Average, Oman, OMN
17.647179, 2080-2099, cesm1_cam5, Jun Average, Oman, OMN
35.260853, 2080-2099, cesm1_cam5, Jul Average, Oman, OMN
65.07774, 2080-2099, cesm1_cam5, Aug Average, Oman, OMN
55.179943, 2080-2099, cesm1_cam5, Sep Average, Oman, OMN
17.40537, 2080-2099, cesm1_cam5, Oct Average, Oman, OMN
7.630482, 2080-2099, cesm1_cam5, Nov Average, Oman, OMN
6.915053, 2080-2099, cesm1_cam5, Dec Average, Oman, OMN
0.46708313, 2080-2099, csiro_mk3_6_0, Jan Average, Oman, OMN
0.323204, 2080-2099, csiro_mk3_6_0, Feb Average, Oman, OMN
1.7868422, 2080-2099, csiro_mk3_6_0, Mar Average, Oman, OMN
8.02382, 2080-2099, csiro_mk3_6_0, Apr Average, Oman, OMN
5.8771706, 2080-2099, csiro_mk3_6_0, May Average, Oman, OMN
1.1193368, 2080-2099, csiro_mk3_6_0, Jun Average, Oman, OMN
0.13299276, 2080-2099, csiro_mk3_6_0, Jul Average, Oman, OMN
0.12223665, 2080-2099, csiro_mk3_6_0, Aug Average, Oman, OMN
0.07470877, 2080-2099, csiro_mk3_6_0, Sep Average, Oman, OMN
0.9519467, 2080-2099, csiro_mk3_6_0, Oct Average, Oman, OMN
4.2350316, 2080-2099, csiro_mk3_6_0, Nov Average, Oman, OMN
0.1810291, 2080-2099, csiro_mk3_6_0, Dec Average, Oman, OMN
2.3761122, 2080-2099, fio_esm, Jan Average, Oman, OMN
0.977128, 2080-2099, fio_esm, Feb Average, Oman, OMN
1.1608598, 2080-2099, fio_esm, Mar Average, Oman, OMN
0.74773, 2080-2099, fio_esm, Apr Average, Oman, OMN
2.9343514, 2080-2099, fio_esm, May Average, Oman, OMN
3.4777246, 2080-2099, fio_esm, Jun Average, Oman, OMN
10.876774, 2080-2099, fio_esm, Jul Average, Oman, OMN
22.212523, 2080-2099, fio_esm, Aug Average, Oman, OMN
4.640626, 2080-2099, fio_esm, Sep Average, Oman, OMN
6.7514486, 2080-2099, fio_esm, Oct Average, Oman, OMN
14.609542, 2080-2099, fio_esm, Nov Average, Oman, OMN
7.9338303, 2080-2099, fio_esm, Dec Average, Oman, OMN
0.9165902, 2080-2099, gfdl_cm3, Jan Average, Oman, OMN
