Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
349.0233, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
381.1771, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
285.20184, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
150.91675, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
188.4028, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
208.93002, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
153.53613, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
190.60666, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
236.6872, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
267.8342, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
220.88995, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
348.3759, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
320.34595, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
372.85388, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
278.08136, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
170.20944, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
233.25507, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
155.009, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
172.99596, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
140.26195, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
211.4973, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
169.166, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
169.36078, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
267.1793, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
232.09888, 2080-2099, ccsm4, Jan Average, Samoa, WSM
285.37183, 2080-2099, ccsm4, Feb Average, Samoa, WSM
263.44778, 2080-2099, ccsm4, Mar Average, Samoa, WSM
262.34967, 2080-2099, ccsm4, Apr Average, Samoa, WSM
251.3441, 2080-2099, ccsm4, May Average, Samoa, WSM
253.22984, 2080-2099, ccsm4, Jun Average, Samoa, WSM
143.76991, 2080-2099, ccsm4, Jul Average, Samoa, WSM
129.96886, 2080-2099, ccsm4, Aug Average, Samoa, WSM
158.07376, 2080-2099, ccsm4, Sep Average, Samoa, WSM
255.41655, 2080-2099, ccsm4, Oct Average, Samoa, WSM
258.5724, 2080-2099, ccsm4, Nov Average, Samoa, WSM
268.37292, 2080-2099, ccsm4, Dec Average, Samoa, WSM
282.85254, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
310.58426, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
299.87006, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
265.7091, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
263.55914, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
195.52695, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
119.30194, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
140.36234, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
187.17946, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
243.37613, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
251.75726, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
269.95346, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
525.9617, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
429.94986, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
422.96347, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
316.67563, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
213.84488, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
112.475815, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
122.202614, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
