Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
110.183815, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
98.69737, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
87.30918, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
69.948906, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
44.971024, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
52.758774, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
34.202946, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
48.108532, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
49.806725, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
109.00973, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
117.90675, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
120.1976, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
134.69884, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
117.25331, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
101.69371, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
80.58655, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
64.70264, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
49.413563, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
46.656284, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
48.96064, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
76.3289, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
116.09382, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
138.17645, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
136.54628, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
112.41014, 2080-2099, ccsm4, Jan Average, Denmark, DNK
85.131546, 2080-2099, ccsm4, Feb Average, Denmark, DNK
81.785645, 2080-2099, ccsm4, Mar Average, Denmark, DNK
57.81742, 2080-2099, ccsm4, Apr Average, Denmark, DNK
44.66623, 2080-2099, ccsm4, May Average, Denmark, DNK
50.68121, 2080-2099, ccsm4, Jun Average, Denmark, DNK
60.00602, 2080-2099, ccsm4, Jul Average, Denmark, DNK
59.126133, 2080-2099, ccsm4, Aug Average, Denmark, DNK
82.35, 2080-2099, ccsm4, Sep Average, Denmark, DNK
111.986404, 2080-2099, ccsm4, Oct Average, Denmark, DNK
141.41037, 2080-2099, ccsm4, Nov Average, Denmark, DNK
134.86322, 2080-2099, ccsm4, Dec Average, Denmark, DNK
145.70111, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
98.97601, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
76.99026, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
49.952526, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
47.337215, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
40.573833, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
49.171524, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
74.45747, 2080-2099, cesm1_cam5, Aug Average, Denmark, DNK
97.964554, 2080-2099, cesm1_cam5, Sep Average, Denmark, DNK
119.91673, 2080-2099, cesm1_cam5, Oct Average, Denmark, DNK
122.474144, 2080-2099, cesm1_cam5, Nov Average, Denmark, DNK
129.23242, 2080-2099, cesm1_cam5, Dec Average, Denmark, DNK
88.07399, 2080-2099, csiro_mk3_6_0, Jan Average, Denmark, DNK
68.57653, 2080-2099, csiro_mk3_6_0, Feb Average, Denmark, DNK
65.272156, 2080-2099, csiro_mk3_6_0, Mar Average, Denmark, DNK
59.62151, 2080-2099, csiro_mk3_6_0, Apr Average, Denmark, DNK
59.57272, 2080-2099, csiro_mk3_6_0, May Average, Denmark, DNK
59.233055, 2080-2099, csiro_mk3_6_0, Jun Average, Denmark, DNK
41.30079, 2080-2099, csiro_mk3_6_0, Jul Average, Denmark, DNK
39.39499, 2080-2099, csiro_mk3_6_0, Aug Average, Denmark, DNK
61.764168, 2080-2099, csiro_mk3_6_0, Sep Average, Denmark, DNK
82.747635, 2080-2099, csiro_mk3_6_0, Oct Average, Denmark, DNK
98.4618, 2080-2099, csiro_mk3_6_0, Nov Average, Denmark, DNK
92.314384, 2080-2099, csiro_mk3_6_0, Dec Average, Denmark, DNK
119.06136, 2080-2099, fio_esm, Jan Average, Denmark, DNK
105.08565, 2080-2099, fio_esm, Feb Average, Denmark, DNK
105.658905, 2080-2099, fio_esm, Mar Average, Denmark, DNK
67.28914, 2080-2099, fio_esm, Apr Average, Denmark, DNK
54.230335, 2080-2099, fio_esm, May Average, Denmark, DNK
36.599426, 2080-2099, fio_esm, Jun Average, Denmark, DNK
43.860676, 2080-2099, fio_esm, Jul Average, Denmark, DNK
58.10465, 2080-2099, fio_esm, Aug Average, Denmark, DNK
84.30185, 2080-2099, fio_esm, Sep Average, Denmark, DNK
85.94494, 2080-2099, fio_esm, Oct Average, Denmark, DNK
94.43302, 2080-2099, fio_esm, Nov Average, Denmark, DNK
118.63686, 2080-2099, fio_esm, Dec Average, Denmark, DNK
108.05888, 2080-2099, gfdl_cm3, Jan Average, Denmark, DNK
73.2473, 2080-2099, gfdl_cm3, Feb Average, Denmark, DNK
67.00763, 2080-2099, gfdl_cm3, Mar Average, Denmark, DNK
42.067825, 2080-2099, gfdl_cm3, Apr Average, Denmark, DNK
59.31524, 2080-2099, gfdl_cm3, May Average, Denmark, DNK
43.458344, 2080-2099, gfdl_cm3, Jun Average, Denmark, DNK
34.440544, 2080-2099, gfdl_cm3, Jul Average, Denmark, DNK
49.752853, 2080-2099, gfdl_cm3, Aug Average, Denmark, DNK
87.47721, 2080-2099, gfdl_cm3, Sep Average, Denmark, DNK
115.40401, 2080-2099, gfdl_cm3, Oct Average, Denmark, DNK
118.8235, 2080-2099, gfdl_cm3, Nov Average, Denmark, DNK
133.12003, 2080-2099, gfdl_cm3, Dec Average, Denmark, DNK
100.24813, 2080-2099, gfdl_esm2m, Jan Average, Denmark, DNK
78.50393, 2080-2099, gfdl_esm2m, Feb Average, Denmark, DNK
71.74728, 2080-2099, gfdl_esm2m, Mar Average, Denmark, DNK
60.512623, 2080-2099, gfdl_esm2m, Apr Average, Denmark, DNK
