Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
45.21529, 2080-2099, bcc_csm1_1, Jan Average, Afghanistan, AFG
31.936373, 2080-2099, bcc_csm1_1, Feb Average, Afghanistan, AFG
26.797892, 2080-2099, bcc_csm1_1, Mar Average, Afghanistan, AFG
21.475395, 2080-2099, bcc_csm1_1, Apr Average, Afghanistan, AFG
9.758316, 2080-2099, bcc_csm1_1, May Average, Afghanistan, AFG
4.121982, 2080-2099, bcc_csm1_1, Jun Average, Afghanistan, AFG
2.5435805, 2080-2099, bcc_csm1_1, Jul Average, Afghanistan, AFG
2.6101913, 2080-2099, bcc_csm1_1, Aug Average, Afghanistan, AFG
7.409098, 2080-2099, bcc_csm1_1, Sep Average, Afghanistan, AFG
8.6192665, 2080-2099, bcc_csm1_1, Oct Average, Afghanistan, AFG
26.797064, 2080-2099, bcc_csm1_1, Nov Average, Afghanistan, AFG
21.701826, 2080-2099, bcc_csm1_1, Dec Average, Afghanistan, AFG
24.048855, 2080-2099, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
14.231802, 2080-2099, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
15.714704, 2080-2099, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
10.989892, 2080-2099, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
12.583848, 2080-2099, bcc_csm1_1_m, May Average, Afghanistan, AFG
12.202742, 2080-2099, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
34.020298, 2080-2099, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
28.055294, 2080-2099, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
27.354153, 2080-2099, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
13.229886, 2080-2099, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
22.522379, 2080-2099, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
25.109972, 2080-2099, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
24.08169, 2080-2099, ccsm4, Jan Average, Afghanistan, AFG
20.465534, 2080-2099, ccsm4, Feb Average, Afghanistan, AFG
31.377909, 2080-2099, ccsm4, Mar Average, Afghanistan, AFG
29.900723, 2080-2099, ccsm4, Apr Average, Afghanistan, AFG
15.645526, 2080-2099, ccsm4, May Average, Afghanistan, AFG
6.9674, 2080-2099, ccsm4, Jun Average, Afghanistan, AFG
25.146257, 2080-2099, ccsm4, Jul Average, Afghanistan, AFG
19.386717, 2080-2099, ccsm4, Aug Average, Afghanistan, AFG
23.512873, 2080-2099, ccsm4, Sep Average, Afghanistan, AFG
12.349867, 2080-2099, ccsm4, Oct Average, Afghanistan, AFG
27.632776, 2080-2099, ccsm4, Nov Average, Afghanistan, AFG
26.745401, 2080-2099, ccsm4, Dec Average, Afghanistan, AFG
19.970863, 2080-2099, cesm1_cam5, Jan Average, Afghanistan, AFG
17.752188, 2080-2099, cesm1_cam5, Feb Average, Afghanistan, AFG
35.2515, 2080-2099, cesm1_cam5, Mar Average, Afghanistan, AFG
36.966003, 2080-2099, cesm1_cam5, Apr Average, Afghanistan, AFG
27.507175, 2080-2099, cesm1_cam5, May Average, Afghanistan, AFG
11.858775, 2080-2099, cesm1_cam5, Jun Average, Afghanistan, AFG
12.542667, 2080-2099, cesm1_cam5, Jul Average, Afghanistan, AFG
14.410737, 2080-2099, cesm1_cam5, Aug Average, Afghanistan, AFG
17.102177, 2080-2099, cesm1_cam5, Sep Average, Afghanistan, AFG
12.339826, 2080-2099, cesm1_cam5, Oct Average, Afghanistan, AFG
24.310846, 2080-2099, cesm1_cam5, Nov Average, Afghanistan, AFG
19.360428, 2080-2099, cesm1_cam5, Dec Average, Afghanistan, AFG
7.4955134, 2080-2099, csiro_mk3_6_0, Jan Average, Afghanistan, AFG
19.736519, 2080-2099, csiro_mk3_6_0, Feb Average, Afghanistan, AFG
29.564245, 2080-2099, csiro_mk3_6_0, Mar Average, Afghanistan, AFG
27.492184, 2080-2099, csiro_mk3_6_0, Apr Average, Afghanistan, AFG
10.328319, 2080-2099, csiro_mk3_6_0, May Average, Afghanistan, AFG
2.8533933, 2080-2099, csiro_mk3_6_0, Jun Average, Afghanistan, AFG
2.6616132, 2080-2099, csiro_mk3_6_0, Jul Average, Afghanistan, AFG
2.4988546, 2080-2099, csiro_mk3_6_0, Aug Average, Afghanistan, AFG
2.1074002, 2080-2099, csiro_mk3_6_0, Sep Average, Afghanistan, AFG
6.9597516, 2080-2099, csiro_mk3_6_0, Oct Average, Afghanistan, AFG
12.696348, 2080-2099, csiro_mk3_6_0, Nov Average, Afghanistan, AFG
10.024663, 2080-2099, csiro_mk3_6_0, Dec Average, Afghanistan, AFG
25.29553, 2080-2099, fio_esm, Jan Average, Afghanistan, AFG
21.521624, 2080-2099, fio_esm, Feb Average, Afghanistan, AFG
20.517305, 2080-2099, fio_esm, Mar Average, Afghanistan, AFG
20.082516, 2080-2099, fio_esm, Apr Average, Afghanistan, AFG
17.27308, 2080-2099, fio_esm, May Average, Afghanistan, AFG
11.2369375, 2080-2099, fio_esm, Jun Average, Afghanistan, AFG
7.741994, 2080-2099, fio_esm, Jul Average, Afghanistan, AFG
8.781666, 2080-2099, fio_esm, Aug Average, Afghanistan, AFG
3.2043307, 2080-2099, fio_esm, Sep Average, Afghanistan, AFG
15.317692, 2080-2099, fio_esm, Oct Average, Afghanistan, AFG
30.542416, 2080-2099, fio_esm, Nov Average, Afghanistan, AFG
31.528002, 2080-2099, fio_esm, Dec Average, Afghanistan, AFG
30.128073, 2080-2099, gfdl_cm3, Jan Average, Afghanistan, AFG
24.75671, 2080-2099, gfdl_cm3, Feb Average, Afghanistan, AFG
53.554245, 2080-2099, gfdl_cm3, Mar Average, Afghanistan, AFG
46.18978, 2080-2099, gfdl_cm3, Apr Average, Afghanistan, AFG
27.61842, 2080-2099, gfdl_cm3, May Average, Afghanistan, AFG
8.328465, 2080-2099, gfdl_cm3, Jun Average, Afghanistan, AFG
5.7085204, 2080-2099, gfdl_cm3, Jul Average, Afghanistan, AFG
4.6907487, 2080-2099, gfdl_cm3, Aug Average, Afghanistan, AFG
7.0856915, 2080-2099, gfdl_cm3, Sep Average, Afghanistan, AFG
13.083232, 2080-2099, gfdl_cm3, Oct Average, Afghanistan, AFG
30.500834, 2080-2099, gfdl_cm3, Nov Average, Afghanistan, AFG
22.3576, 2080-2099, gfdl_cm3, Dec Average, Afghanistan, AFG
13.346127, 2080-2099, gfdl_esm2m, Jan Average, Afghanistan, AFG
8.214147, 2080-2099, gfdl_esm2m, Feb Average, Afghanistan, AFG
23.975613, 2080-2099, gfdl_esm2m, Mar Average, Afghanistan, AFG
29.350134, 2080-2099, gfdl_esm2m, Apr Average, Afghanistan, AFG
21.058472, 2080-2099, gfdl_esm2m, May Average, Afghanistan, AFG
5.243021, 2080-2099, gfdl_esm2m, Jun Average, Afghanistan, AFG
1.0973346, 2080-2099, gfdl_esm2m, Jul Average, Afghanistan, AFG
0.7503996, 2080-2099, gfdl_esm2m, Aug Average, Afghanistan, AFG
3.8932228, 2080-2099, gfdl_esm2m, Sep Average, Afghanistan, AFG
19.579327, 2080-2099, gfdl_esm2m, Oct Average, Afghanistan, AFG
28.230017, 2080-2099, gfdl_esm2m, Nov Average, Afghanistan, AFG
20.598515, 2080-2099, gfdl_esm2m, Dec Average, Afghanistan, AFG
30.752258, 2080-2099, giss_e2_h, Jan Average, Afghanistan, AFG
36.21079, 2080-2099, giss_e2_h, Feb Average, Afghanistan, AFG
49.131245, 2080-2099, giss_e2_h, Mar Average, Afghanistan, AFG
47.29676, 2080-2099, giss_e2_h, Apr Average, Afghanistan, AFG
30.058794, 2080-2099, giss_e2_h, May Average, Afghanistan, AFG
25.467484, 2080-2099, giss_e2_h, Jun Average, Afghanistan, AFG
28.799826, 2080-2099, giss_e2_h, Jul Average, Afghanistan, AFG
21.616583, 2080-2099, giss_e2_h, Aug Average, Afghanistan, AFG
9.856316, 2080-2099, giss_e2_h, Sep Average, Afghanistan, AFG
18.322418, 2080-2099, giss_e2_h, Oct Average, Afghanistan, AFG
22.688036, 2080-2099, giss_e2_h, Nov Average, Afghanistan, AFG
32.794266, 2080-2099, giss_e2_h, Dec Average, Afghanistan, AFG
34.112576, 2080-2099, giss_e2_r, Jan Average, Afghanistan, AFG
40.28492, 2080-2099, giss_e2_r, Feb Average, Afghanistan, AFG
52.17397, 2080-2099, giss_e2_r, Mar Average, Afghanistan, AFG
47.286144, 2080-2099, giss_e2_r, Apr Average, Afghanistan, AFG
