Temperature - (Celsius), Year, Statistics, Country, ISO3
1.81201, 1991, Jan Average, Denmark, DNK
-1.2564, 1991, Feb Average, Denmark, DNK
4.51377, 1991, Mar Average, Denmark, DNK
6.75552, 1991, Apr Average, Denmark, DNK
9.51739, 1991, May Average, Denmark, DNK
12.0726, 1991, Jun Average, Denmark, DNK
17.8774, 1991, Jul Average, Denmark, DNK
17.1218, 1991, Aug Average, Denmark, DNK
13.8369, 1991, Sep Average, Denmark, DNK
8.84284, 1991, Oct Average, Denmark, DNK
4.95172, 1991, Nov Average, Denmark, DNK
3.01885, 1991, Dec Average, Denmark, DNK
2.45369, 1992, Jan Average, Denmark, DNK
3.32719, 1992, Feb Average, Denmark, DNK
4.37951, 1992, Mar Average, Denmark, DNK
6.34415, 1992, Apr Average, Denmark, DNK
13.228, 1992, May Average, Denmark, DNK
17.6496, 1992, Jun Average, Denmark, DNK
17.672, 1992, Jul Average, Denmark, DNK
16.3816, 1992, Aug Average, Denmark, DNK
13.2298, 1992, Sep Average, Denmark, DNK
6.43854, 1992, Oct Average, Denmark, DNK
4.94763, 1992, Nov Average, Denmark, DNK
2.51171, 1992, Dec Average, Denmark, DNK
1.82263, 1993, Jan Average, Denmark, DNK
1.17363, 1993, Feb Average, Denmark, DNK
3.16447, 1993, Mar Average, Denmark, DNK
7.89987, 1993, Apr Average, Denmark, DNK
13.16, 1993, May Average, Denmark, DNK
13.9319, 1993, Jun Average, Denmark, DNK
14.6505, 1993, Jul Average, Denmark, DNK
14.4468, 1993, Aug Average, Denmark, DNK
11.1431, 1993, Sep Average, Denmark, DNK
7.365, 1993, Oct Average, Denmark, DNK
1.89348, 1993, Nov Average, Denmark, DNK
1.87729, 1993, Dec Average, Denmark, DNK
2.24596, 1994, Jan Average, Denmark, DNK
-1.7339, 1994, Feb Average, Denmark, DNK
3.35713, 1994, Mar Average, Denmark, DNK
7.5549, 1994, Apr Average, Denmark, DNK
11.2479, 1994, May Average, Denmark, DNK
13.2768, 1994, Jun Average, Denmark, DNK
19.7715, 1994, Jul Average, Denmark, DNK
17.2633, 1994, Aug Average, Denmark, DNK
12.7774, 1994, Sep Average, Denmark, DNK
7.94883, 1994, Oct Average, Denmark, DNK
6.33612, 1994, Nov Average, Denmark, DNK
3.85443, 1994, Dec Average, Denmark, DNK
0.24508, 1995, Jan Average, Denmark, DNK
3.45982, 1995, Feb Average, Denmark, DNK
3.11228, 1995, Mar Average, Denmark, DNK
6.63573, 1995, Apr Average, Denmark, DNK
10.2833, 1995, May Average, Denmark, DNK
14.1499, 1995, Jun Average, Denmark, DNK
17.7353, 1995, Jul Average, Denmark, DNK
18.2897, 1995, Aug Average, Denmark, DNK
13.2212, 1995, Sep Average, Denmark, DNK
11.425, 1995, Oct Average, Denmark, DNK
3.47805, 1995, Nov Average, Denmark, DNK
-1.7615, 1995, Dec Average, Denmark, DNK
-2.4117, 1996, Jan Average, Denmark, DNK
-3.1778, 1996, Feb Average, Denmark, DNK
0.20155, 1996, Mar Average, Denmark, DNK
6.79815, 1996, Apr Average, Denmark, DNK
8.8689, 1996, May Average, Denmark, DNK
13.5612, 1996, Jun Average, Denmark, DNK
15.0712, 1996, Jul Average, Denmark, DNK
17.9576, 1996, Aug Average, Denmark, DNK
11.7802, 1996, Sep Average, Denmark, DNK
9.7266, 1996, Oct Average, Denmark, DNK
4.58917, 1996, Nov Average, Denmark, DNK
-0.978, 1996, Dec Average, Denmark, DNK
-1.6062, 1997, Jan Average, Denmark, DNK
2.623, 1997, Feb Average, Denmark, DNK
3.80853, 1997, Mar Average, Denmark, DNK
5.89224, 1997, Apr Average, Denmark, DNK
10.0333, 1997, May Average, Denmark, DNK
15.2816, 1997, Jun Average, Denmark, DNK
18.0097, 1997, Jul Average, Denmark, DNK
19.701, 1997, Aug Average, Denmark, DNK
13.6666, 1997, Sep Average, Denmark, DNK
7.80538, 1997, Oct Average, Denmark, DNK
4.01058, 1997, Nov Average, Denmark, DNK
2.04428, 1997, Dec Average, Denmark, DNK
2.10819, 1998, Jan Average, Denmark, DNK
4.53941, 1998, Feb Average, Denmark, DNK
3.84665, 1998, Mar Average, Denmark, DNK
6.95226, 1998, Apr Average, Denmark, DNK
12.2197, 1998, May Average, Denmark, DNK
14.2868, 1998, Jun Average, Denmark, DNK
14.9213, 1998, Jul Average, Denmark, DNK
14.9937, 1998, Aug Average, Denmark, DNK
13.5327, 1998, Sep Average, Denmark, DNK
8.4784, 1998, Oct Average, Denmark, DNK
1.57024, 1998, Nov Average, Denmark, DNK
0.81701, 1998, Dec Average, Denmark, DNK
1.71289, 1999, Jan Average, Denmark, DNK
0.81464, 1999, Feb Average, Denmark, DNK
3.7827, 1999, Mar Average, Denmark, DNK
7.94367, 1999, Apr Average, Denmark, DNK
10.9162, 1999, May Average, Denmark, DNK
14.0771, 1999, Jun Average, Denmark, DNK
17.8449, 1999, Jul Average, Denmark, DNK
16.8665, 1999, Aug Average, Denmark, DNK
16.1812, 1999, Sep Average, Denmark, DNK
9.30719, 1999, Oct Average, Denmark, DNK
5.38737, 1999, Nov Average, Denmark, DNK
1.97547, 1999, Dec Average, Denmark, DNK
2.46339, 2000, Jan Average, Denmark, DNK
3.2096, 2000, Feb Average, Denmark, DNK
3.87476, 2000, Mar Average, Denmark, DNK
8.62409, 2000, Apr Average, Denmark, DNK
13.0018, 2000, May Average, Denmark, DNK
14.1487, 2000, Jun Average, Denmark, DNK
15.3187, 2000, Jul Average, Denmark, DNK
15.7381, 2000, Aug Average, Denmark, DNK
13.1758, 2000, Sep Average, Denmark, DNK
11.1005, 2000, Oct Average, Denmark, DNK
6.92962, 2000, Nov Average, Denmark, DNK
3.39197, 2000, Dec Average, Denmark, DNK
1.33253, 2001, Jan Average, Denmark, DNK
0.22878, 2001, Feb Average, Denmark, DNK
1.37486, 2001, Mar Average, Denmark, DNK
5.98866, 2001, Apr Average, Denmark, DNK
11.7543, 2001, May Average, Denmark, DNK
13.1947, 2001, Jun Average, Denmark, DNK
18.049, 2001, Jul Average, Denmark, DNK
17.2767, 2001, Aug Average, Denmark, DNK
12.6512, 2001, Sep Average, Denmark, DNK
11.9887, 2001, Oct Average, Denmark, DNK
5.12239, 2001, Nov Average, Denmark, DNK
0.21505, 2001, Dec Average, Denmark, DNK
2.33997, 2002, Jan Average, Denmark, DNK
4.02029, 2002, Feb Average, Denmark, DNK
4.44908, 2002, Mar Average, Denmark, DNK
7.49116, 2002, Apr Average, Denmark, DNK
12.9817, 2002, May Average, Denmark, DNK
15.8777, 2002, Jun Average, Denmark, DNK
17.4613, 2002, Jul Average, Denmark, DNK
19.5697, 2002, Aug Average, Denmark, DNK
14.8604, 2002, Sep Average, Denmark, DNK
7.08929, 2002, Oct Average, Denmark, DNK
3.84329, 2002, Nov Average, Denmark, DNK
-0.7085, 2002, Dec Average, Denmark, DNK
-0.3074, 2003, Jan Average, Denmark, DNK
-1.6305, 2003, Feb Average, Denmark, DNK
3.42706, 2003, Mar Average, Denmark, DNK
7.25292, 2003, Apr Average, Denmark, DNK
11.713, 2003, May Average, Denmark, DNK
16.167, 2003, Jun Average, Denmark, DNK
18.4046, 2003, Jul Average, Denmark, DNK
18.1249, 2003, Aug Average, Denmark, DNK
14.169, 2003, Sep Average, Denmark, DNK
6.52798, 2003, Oct Average, Denmark, DNK
6.21899, 2003, Nov Average, Denmark, DNK
3.35804, 2003, Dec Average, Denmark, DNK
-0.8767, 2004, Jan Average, Denmark, DNK
1.74423, 2004, Feb Average, Denmark, DNK
3.68345, 2004, Mar Average, Denmark, DNK
8.26677, 2004, Apr Average, Denmark, DNK
11.4968, 2004, May Average, Denmark, DNK
