Temperature - (Celsius), Year, Statistics, Country, ISO3
21.01, 1991, Jan Average, Laos, LAO
21.3163, 1991, Feb Average, Laos, LAO
24.9506, 1991, Mar Average, Laos, LAO
26.2546, 1991, Apr Average, Laos, LAO
26.9529, 1991, May Average, Laos, LAO
26.3661, 1991, Jun Average, Laos, LAO
26.2, 1991, Jul Average, Laos, LAO
25.472, 1991, Aug Average, Laos, LAO
25.6955, 1991, Sep Average, Laos, LAO
23.9768, 1991, Oct Average, Laos, LAO
21.2734, 1991, Nov Average, Laos, LAO
19.9251, 1991, Dec Average, Laos, LAO
18.076, 1992, Jan Average, Laos, LAO
20.3234, 1992, Feb Average, Laos, LAO
23.8122, 1992, Mar Average, Laos, LAO
26.9226, 1992, Apr Average, Laos, LAO
27.5032, 1992, May Average, Laos, LAO
26.617, 1992, Jun Average, Laos, LAO
25.6924, 1992, Jul Average, Laos, LAO
25.8457, 1992, Aug Average, Laos, LAO
25.5539, 1992, Sep Average, Laos, LAO
22.7595, 1992, Oct Average, Laos, LAO
20.2372, 1992, Nov Average, Laos, LAO
19.4326, 1992, Dec Average, Laos, LAO
18.5275, 1993, Jan Average, Laos, LAO
20.5693, 1993, Feb Average, Laos, LAO
23.5077, 1993, Mar Average, Laos, LAO
25.5381, 1993, Apr Average, Laos, LAO
26.5288, 1993, May Average, Laos, LAO
26.9464, 1993, Jun Average, Laos, LAO
26.5587, 1993, Jul Average, Laos, LAO
25.7036, 1993, Aug Average, Laos, LAO
25.4473, 1993, Sep Average, Laos, LAO
23.7556, 1993, Oct Average, Laos, LAO
21.8504, 1993, Nov Average, Laos, LAO
19.1474, 1993, Dec Average, Laos, LAO
20.4101, 1994, Jan Average, Laos, LAO
22.707, 1994, Feb Average, Laos, LAO
22.1384, 1994, Mar Average, Laos, LAO
26.4346, 1994, Apr Average, Laos, LAO
26.4984, 1994, May Average, Laos, LAO
25.7838, 1994, Jun Average, Laos, LAO
25.606, 1994, Jul Average, Laos, LAO
25.4554, 1994, Aug Average, Laos, LAO
25.4235, 1994, Sep Average, Laos, LAO
23.3377, 1994, Oct Average, Laos, LAO
21.645, 1994, Nov Average, Laos, LAO
20.9108, 1994, Dec Average, Laos, LAO
19.4954, 1995, Jan Average, Laos, LAO
19.8368, 1995, Feb Average, Laos, LAO
23.5943, 1995, Mar Average, Laos, LAO
26.5074, 1995, Apr Average, Laos, LAO
26.4701, 1995, May Average, Laos, LAO
26.7924, 1995, Jun Average, Laos, LAO
25.7595, 1995, Jul Average, Laos, LAO
25.3315, 1995, Aug Average, Laos, LAO
25.4751, 1995, Sep Average, Laos, LAO
24.2127, 1995, Oct Average, Laos, LAO
21.5039, 1995, Nov Average, Laos, LAO
18.8833, 1995, Dec Average, Laos, LAO
19.4512, 1996, Jan Average, Laos, LAO
19.0927, 1996, Feb Average, Laos, LAO
23.4733, 1996, Mar Average, Laos, LAO
24.316, 1996, Apr Average, Laos, LAO
25.4164, 1996, May Average, Laos, LAO
25.8702, 1996, Jun Average, Laos, LAO
25.7287, 1996, Jul Average, Laos, LAO
25.5922, 1996, Aug Average, Laos, LAO
25.1098, 1996, Sep Average, Laos, LAO
24.0139, 1996, Oct Average, Laos, LAO
22.3141, 1996, Nov Average, Laos, LAO
19.1258, 1996, Dec Average, Laos, LAO
19.0358, 1997, Jan Average, Laos, LAO
20.1262, 1997, Feb Average, Laos, LAO
23.0102, 1997, Mar Average, Laos, LAO
24.0927, 1997, Apr Average, Laos, LAO
26.5807, 1997, May Average, Laos, LAO
26.8254, 1997, Jun Average, Laos, LAO
25.7681, 1997, Jul Average, Laos, LAO
25.8595, 1997, Aug Average, Laos, LAO
24.8885, 1997, Sep Average, Laos, LAO
24.7457, 1997, Oct Average, Laos, LAO
22.7929, 1997, Nov Average, Laos, LAO
21.6045, 1997, Dec Average, Laos, LAO
21.0293, 1998, Jan Average, Laos, LAO
22.3972, 1998, Feb Average, Laos, LAO
24.8365, 1998, Mar Average, Laos, LAO
26.4163, 1998, Apr Average, Laos, LAO
27.4006, 1998, May Average, Laos, LAO
27.089, 1998, Jun Average, Laos, LAO
26.4233, 1998, Jul Average, Laos, LAO
26.3109, 1998, Aug Average, Laos, LAO
25.6552, 1998, Sep Average, Laos, LAO
24.7639, 1998, Oct Average, Laos, LAO
22.3799, 1998, Nov Average, Laos, LAO
20.682, 1998, Dec Average, Laos, LAO
19.9452, 1999, Jan Average, Laos, LAO
21.6911, 1999, Feb Average, Laos, LAO
24.1625, 1999, Mar Average, Laos, LAO
25.0074, 1999, Apr Average, Laos, LAO
24.7966, 1999, May Average, Laos, LAO
26.0248, 1999, Jun Average, Laos, LAO
25.8599, 1999, Jul Average, Laos, LAO
25.6373, 1999, Aug Average, Laos, LAO
25.2191, 1999, Sep Average, Laos, LAO
24.2871, 1999, Oct Average, Laos, LAO
21.8602, 1999, Nov Average, Laos, LAO
17.4761, 1999, Dec Average, Laos, LAO
20.2801, 2000, Jan Average, Laos, LAO
20.1164, 2000, Feb Average, Laos, LAO
23.0081, 2000, Mar Average, Laos, LAO
25.099, 2000, Apr Average, Laos, LAO
25.1797, 2000, May Average, Laos, LAO
25.6254, 2000, Jun Average, Laos, LAO
25.6286, 2000, Jul Average, Laos, LAO
26.0176, 2000, Aug Average, Laos, LAO
25.0439, 2000, Sep Average, Laos, LAO
24.3831, 2000, Oct Average, Laos, LAO
21.2609, 2000, Nov Average, Laos, LAO
20.8035, 2000, Dec Average, Laos, LAO
20.8626, 2001, Jan Average, Laos, LAO
21.5669, 2001, Feb Average, Laos, LAO
23.0549, 2001, Mar Average, Laos, LAO
27.2012, 2001, Apr Average, Laos, LAO
25.5922, 2001, May Average, Laos, LAO
26.0709, 2001, Jun Average, Laos, LAO
26.1046, 2001, Jul Average, Laos, LAO
26.0013, 2001, Aug Average, Laos, LAO
25.8435, 2001, Sep Average, Laos, LAO
24.7162, 2001, Oct Average, Laos, LAO
20.5169, 2001, Nov Average, Laos, LAO
20.3447, 2001, Dec Average, Laos, LAO
19.4703, 2002, Jan Average, Laos, LAO
21.975, 2002, Feb Average, Laos, LAO
23.9073, 2002, Mar Average, Laos, LAO
26.3919, 2002, Apr Average, Laos, LAO
26.1114, 2002, May Average, Laos, LAO
26.7044, 2002, Jun Average, Laos, LAO
26.2147, 2002, Jul Average, Laos, LAO
25.4787, 2002, Aug Average, Laos, LAO
24.9687, 2002, Sep Average, Laos, LAO
24.2892, 2002, Oct Average, Laos, LAO
22.4366, 2002, Nov Average, Laos, LAO
21.3937, 2002, Dec Average, Laos, LAO
19.0848, 2003, Jan Average, Laos, LAO
21.8819, 2003, Feb Average, Laos, LAO
22.9625, 2003, Mar Average, Laos, LAO
26.5333, 2003, Apr Average, Laos, LAO
27.1564, 2003, May Average, Laos, LAO
26.2794, 2003, Jun Average, Laos, LAO
26.4149, 2003, Jul Average, Laos, LAO
26.3551, 2003, Aug Average, Laos, LAO
25.479, 2003, Sep Average, Laos, LAO
24.7117, 2003, Oct Average, Laos, LAO
22.8906, 2003, Nov Average, Laos, LAO
19.6223, 2003, Dec Average, Laos, LAO
19.8462, 2004, Jan Average, Laos, LAO
20.3268, 2004, Feb Average, Laos, LAO
24.1414, 2004, Mar Average, Laos, LAO
25.9635, 2004, Apr Average, Laos, LAO
26.305, 2004, May Average, Laos, LAO
26.0686, 2004, Jun Average, Laos, LAO
25.8024, 2004, Jul Average, Laos, LAO
26.2074, 2004, Aug Average, Laos, LAO
25.4576, 2004, Sep Average, Laos, LAO
23.913, 2004, Oct Average, Laos, LAO
22.6087, 2004, Nov Average, Laos, LAO
19.431, 2004, Dec Average, Laos, LAO
19.8145, 2005, Jan Average, Laos, LAO
23.0503, 2005, Feb Average, Laos, LAO
22.908, 2005, Mar Average, Laos, LAO
26.0618, 2005, Apr Average, Laos, LAO
27.4076, 2005, May Average, Laos, LAO
26.9097, 2005, Jun Average, Laos, LAO
26.3907, 2005, Jul Average, Laos, LAO
25.9131, 2005, Aug Average, Laos, LAO
25.7689, 2005, Sep Average, Laos, LAO
24.239, 2005, Oct Average, Laos, LAO
22.7836, 2005, Nov Average, Laos, LAO
19.6218, 2005, Dec Average, Laos, LAO
19.7467, 2006, Jan Average, Laos, LAO
21.837, 2006, Feb Average, Laos, LAO
23.7874, 2006, Mar Average, Laos, LAO
25.3348, 2006, Apr Average, Laos, LAO
25.3336, 2006, May Average, Laos, LAO
26.2535, 2006, Jun Average, Laos, LAO
25.9754, 2006, Jul Average, Laos, LAO
25.4068, 2006, Aug Average, Laos, LAO
25.1905, 2006, Sep Average, Laos, LAO
24.4816, 2006, Oct Average, Laos, LAO
23.0953, 2006, Nov Average, Laos, LAO
