Temperature - (Celsius), Year, Statistics, Country, ISO3
21.0482, 1991, Jan Average, Oman, OMN
21.1952, 1991, Feb Average, Oman, OMN
23.7135, 1991, Mar Average, Oman, OMN
27.418, 1991, Apr Average, Oman, OMN
29.0019, 1991, May Average, Oman, OMN
29.6895, 1991, Jun Average, Oman, OMN
28.1447, 1991, Jul Average, Oman, OMN
26.7936, 1991, Aug Average, Oman, OMN
26.8917, 1991, Sep Average, Oman, OMN
25.8668, 1991, Oct Average, Oman, OMN
23.8781, 1991, Nov Average, Oman, OMN
22.1543, 1991, Dec Average, Oman, OMN
19.0193, 1992, Jan Average, Oman, OMN
20.2495, 1992, Feb Average, Oman, OMN
21.8414, 1992, Mar Average, Oman, OMN
25.2601, 1992, Apr Average, Oman, OMN
29.146, 1992, May Average, Oman, OMN
30.6154, 1992, Jun Average, Oman, OMN
29.0237, 1992, Jul Average, Oman, OMN
27.9485, 1992, Aug Average, Oman, OMN
27.3602, 1992, Sep Average, Oman, OMN
26.1599, 1992, Oct Average, Oman, OMN
23.9582, 1992, Nov Average, Oman, OMN
22.2341, 1992, Dec Average, Oman, OMN
20.0005, 1993, Jan Average, Oman, OMN
21.6974, 1993, Feb Average, Oman, OMN
23.544, 1993, Mar Average, Oman, OMN
26.5939, 1993, Apr Average, Oman, OMN
29.8013, 1993, May Average, Oman, OMN
30.5634, 1993, Jun Average, Oman, OMN
29.2364, 1993, Jul Average, Oman, OMN
27.8458, 1993, Aug Average, Oman, OMN
27.91, 1993, Sep Average, Oman, OMN
26.8475, 1993, Oct Average, Oman, OMN
24.7218, 1993, Nov Average, Oman, OMN
22.3934, 1993, Dec Average, Oman, OMN
20.9085, 1994, Jan Average, Oman, OMN
20.7978, 1994, Feb Average, Oman, OMN
23.9073, 1994, Mar Average, Oman, OMN
27.1181, 1994, Apr Average, Oman, OMN
29.9473, 1994, May Average, Oman, OMN
30.1838, 1994, Jun Average, Oman, OMN
28.7887, 1994, Jul Average, Oman, OMN
27.7883, 1994, Aug Average, Oman, OMN
27.2127, 1994, Sep Average, Oman, OMN
26.5376, 1994, Oct Average, Oman, OMN
25.358, 1994, Nov Average, Oman, OMN
21.4593, 1994, Dec Average, Oman, OMN
21.0205, 1995, Jan Average, Oman, OMN
21.4263, 1995, Feb Average, Oman, OMN
22.7705, 1995, Mar Average, Oman, OMN
26.549, 1995, Apr Average, Oman, OMN
29.6838, 1995, May Average, Oman, OMN
30.2177, 1995, Jun Average, Oman, OMN
28.5983, 1995, Jul Average, Oman, OMN
28.2622, 1995, Aug Average, Oman, OMN
27.8719, 1995, Sep Average, Oman, OMN
26.7989, 1995, Oct Average, Oman, OMN
24.0475, 1995, Nov Average, Oman, OMN
21.6287, 1995, Dec Average, Oman, OMN
20.4056, 1996, Jan Average, Oman, OMN
21.6506, 1996, Feb Average, Oman, OMN
24.017, 1996, Mar Average, Oman, OMN
27.1841, 1996, Apr Average, Oman, OMN
29.7755, 1996, May Average, Oman, OMN
30.096, 1996, Jun Average, Oman, OMN
28.5914, 1996, Jul Average, Oman, OMN
27.0622, 1996, Aug Average, Oman, OMN
27.5927, 1996, Sep Average, Oman, OMN
25.8894, 1996, Oct Average, Oman, OMN
23.3139, 1996, Nov Average, Oman, OMN
21.4082, 1996, Dec Average, Oman, OMN
20.0817, 1997, Jan Average, Oman, OMN
21.0682, 1997, Feb Average, Oman, OMN
22.7865, 1997, Mar Average, Oman, OMN
25.6497, 1997, Apr Average, Oman, OMN
29.4451, 1997, May Average, Oman, OMN
30.1808, 1997, Jun Average, Oman, OMN
29.2804, 1997, Jul Average, Oman, OMN
27.8407, 1997, Aug Average, Oman, OMN
28.0253, 1997, Sep Average, Oman, OMN
26.7837, 1997, Oct Average, Oman, OMN
24.2101, 1997, Nov Average, Oman, OMN
21.9323, 1997, Dec Average, Oman, OMN
20.2599, 1998, Jan Average, Oman, OMN
21.7192, 1998, Feb Average, Oman, OMN
24.2044, 1998, Mar Average, Oman, OMN
27.7694, 1998, Apr Average, Oman, OMN
30.551, 1998, May Average, Oman, OMN
31.0702, 1998, Jun Average, Oman, OMN
29.4042, 1998, Jul Average, Oman, OMN
28.7897, 1998, Aug Average, Oman, OMN
28.0762, 1998, Sep Average, Oman, OMN
27.0755, 1998, Oct Average, Oman, OMN
24.6827, 1998, Nov Average, Oman, OMN
23.6039, 1998, Dec Average, Oman, OMN
21.0735, 1999, Jan Average, Oman, OMN
22.3486, 1999, Feb Average, Oman, OMN
23.4084, 1999, Mar Average, Oman, OMN
27.6013, 1999, Apr Average, Oman, OMN
29.6692, 1999, May Average, Oman, OMN
29.6902, 1999, Jun Average, Oman, OMN
28.4891, 1999, Jul Average, Oman, OMN
27.6916, 1999, Aug Average, Oman, OMN
27.9737, 1999, Sep Average, Oman, OMN
27.3263, 1999, Oct Average, Oman, OMN
24.5658, 1999, Nov Average, Oman, OMN
21.6808, 1999, Dec Average, Oman, OMN
20.9694, 2000, Jan Average, Oman, OMN
21.4691, 2000, Feb Average, Oman, OMN
23.4338, 2000, Mar Average, Oman, OMN
27.9552, 2000, Apr Average, Oman, OMN
30.3977, 2000, May Average, Oman, OMN
30.3482, 2000, Jun Average, Oman, OMN
28.3922, 2000, Jul Average, Oman, OMN
28.2248, 2000, Aug Average, Oman, OMN
27.4513, 2000, Sep Average, Oman, OMN
27.0264, 2000, Oct Average, Oman, OMN
24.3215, 2000, Nov Average, Oman, OMN
21.6757, 2000, Dec Average, Oman, OMN
19.8358, 2001, Jan Average, Oman, OMN
20.8876, 2001, Feb Average, Oman, OMN
24.0002, 2001, Mar Average, Oman, OMN
27.0862, 2001, Apr Average, Oman, OMN
31.1093, 2001, May Average, Oman, OMN
29.9758, 2001, Jun Average, Oman, OMN
29.3302, 2001, Jul Average, Oman, OMN
28.0627, 2001, Aug Average, Oman, OMN
28.3391, 2001, Sep Average, Oman, OMN
27.4403, 2001, Oct Average, Oman, OMN
24.5461, 2001, Nov Average, Oman, OMN
24.8941, 2001, Dec Average, Oman, OMN
20.992, 2002, Jan Average, Oman, OMN
21.4848, 2002, Feb Average, Oman, OMN
24.477, 2002, Mar Average, Oman, OMN
27.4996, 2002, Apr Average, Oman, OMN
30.2075, 2002, May Average, Oman, OMN
30.0712, 2002, Jun Average, Oman, OMN
28.6735, 2002, Jul Average, Oman, OMN
28.007, 2002, Aug Average, Oman, OMN
27.6966, 2002, Sep Average, Oman, OMN
27.3107, 2002, Oct Average, Oman, OMN
24.7974, 2002, Nov Average, Oman, OMN
22.4228, 2002, Dec Average, Oman, OMN
20.6627, 2003, Jan Average, Oman, OMN
22.7127, 2003, Feb Average, Oman, OMN
23.9648, 2003, Mar Average, Oman, OMN
28.0176, 2003, Apr Average, Oman, OMN
30.184, 2003, May Average, Oman, OMN
