Temperature - (Celsius), Year, Statistics, Country, ISO3
27.5455, 1991, Jan Average, Samoa, WSM
27.6727, 1991, Feb Average, Samoa, WSM
27.8569, 1991, Mar Average, Samoa, WSM
27.9462, 1991, Apr Average, Samoa, WSM
26.6455, 1991, May Average, Samoa, WSM
26.8613, 1991, Jun Average, Samoa, WSM
26.819, 1991, Jul Average, Samoa, WSM
26.5732, 1991, Aug Average, Samoa, WSM
26.4732, 1991, Sep Average, Samoa, WSM
26.9462, 1991, Oct Average, Samoa, WSM
27.3727, 1991, Nov Average, Samoa, WSM
27.3185, 1991, Dec Average, Samoa, WSM
27.5569, 1992, Jan Average, Samoa, WSM
27.6727, 1992, Feb Average, Samoa, WSM
27.3561, 1992, Mar Average, Samoa, WSM
27.5996, 1992, Apr Average, Samoa, WSM
27.3996, 1992, May Average, Samoa, WSM
26.9162, 1992, Jun Average, Samoa, WSM
26.9739, 1992, Jul Average, Samoa, WSM
26.4724, 1992, Aug Average, Samoa, WSM
26.9732, 1992, Sep Average, Samoa, WSM
27.0732, 1992, Oct Average, Samoa, WSM
26.8178, 1992, Nov Average, Samoa, WSM
27.5178, 1992, Dec Average, Samoa, WSM
27.4727, 1993, Jan Average, Samoa, WSM
27.4269, 1993, Feb Average, Samoa, WSM
27.2277, 1993, Mar Average, Samoa, WSM
27.6004, 1993, Apr Average, Samoa, WSM
27.3447, 1993, May Average, Samoa, WSM
26.4613, 1993, Jun Average, Samoa, WSM
25.7182, 1993, Jul Average, Samoa, WSM
26.3024, 1993, Aug Average, Samoa, WSM
26.3459, 1993, Sep Average, Samoa, WSM
26.4296, 1993, Oct Average, Samoa, WSM
27.8012, 1993, Nov Average, Samoa, WSM
28.2561, 1993, Dec Average, Samoa, WSM
27.9118, 1994, Jan Average, Samoa, WSM
28.311, 1994, Feb Average, Samoa, WSM
28.2007, 1994, Mar Average, Samoa, WSM
27.8846, 1994, Apr Average, Samoa, WSM
27.2538, 1994, May Average, Samoa, WSM
26.6162, 1994, Jun Average, Samoa, WSM
25.9462, 1994, Jul Average, Samoa, WSM
25.819, 1994, Aug Average, Samoa, WSM
25.7906, 1994, Sep Average, Samoa, WSM
26.6455, 1994, Oct Average, Samoa, WSM
26.5344, 1994, Nov Average, Samoa, WSM
27.9019, 1994, Dec Average, Samoa, WSM
27.6284, 1995, Jan Average, Samoa, WSM
27.9103, 1995, Feb Average, Samoa, WSM
28.0118, 1995, Mar Average, Samoa, WSM
27.7012, 1995, Apr Average, Samoa, WSM
27.3818, 1995, May Average, Samoa, WSM
27.0882, 1995, Jun Average, Samoa, WSM
27.3012, 1995, Jul Average, Samoa, WSM
26.7739, 1995, Aug Average, Samoa, WSM
26.9732, 1995, Sep Average, Samoa, WSM
26.9735, 1995, Oct Average, Samoa, WSM
27.5735, 1995, Nov Average, Samoa, WSM
27.7277, 1995, Dec Average, Samoa, WSM
28.0284, 1996, Jan Average, Samoa, WSM
28.2103, 1996, Feb Average, Samoa, WSM
28.1284, 1996, Mar Average, Samoa, WSM
28.3838, 1996, Apr Average, Samoa, WSM
27.3561, 1996, May Average, Samoa, WSM
27.617, 1996, Jun Average, Samoa, WSM
27.2024, 1996, Jul Average, Samoa, WSM
27.1566, 1996, Aug Average, Samoa, WSM
27.5115, 1996, Sep Average, Samoa, WSM
27.2838, 1996, Oct Average, Samoa, WSM
28.0561, 1996, Nov Average, Samoa, WSM
28.3292, 1996, Dec Average, Samoa, WSM
27.8727, 1997, Jan Average, Samoa, WSM
28.6261, 1997, Feb Average, Samoa, WSM
27.7569, 1997, Mar Average, Samoa, WSM
28.7277, 1997, Apr Average, Samoa, WSM
27.3281, 1997, May Average, Samoa, WSM
26.4996, 1997, Jun Average, Samoa, WSM
