Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.4373727, 2080-2099, bcc_csm1_1, Jan Average, Afghanistan, AFG
2.8701434, 2080-2099, bcc_csm1_1, Feb Average, Afghanistan, AFG
7.5126805, 2080-2099, bcc_csm1_1, Mar Average, Afghanistan, AFG
14.666751, 2080-2099, bcc_csm1_1, Apr Average, Afghanistan, AFG
20.452318, 2080-2099, bcc_csm1_1, May Average, Afghanistan, AFG
26.273605, 2080-2099, bcc_csm1_1, Jun Average, Afghanistan, AFG
29.190699, 2080-2099, bcc_csm1_1, Jul Average, Afghanistan, AFG
26.950466, 2080-2099, bcc_csm1_1, Aug Average, Afghanistan, AFG
22.901243, 2080-2099, bcc_csm1_1, Sep Average, Afghanistan, AFG
15.214296, 2080-2099, bcc_csm1_1, Oct Average, Afghanistan, AFG
7.8087254, 2080-2099, bcc_csm1_1, Nov Average, Afghanistan, AFG
2.6147578, 2080-2099, bcc_csm1_1, Dec Average, Afghanistan, AFG
1.4648554, 2080-2099, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
3.763662, 2080-2099, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
8.629073, 2080-2099, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
14.332899, 2080-2099, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
21.369978, 2080-2099, bcc_csm1_1_m, May Average, Afghanistan, AFG
27.170662, 2080-2099, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
29.572145, 2080-2099, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
26.917427, 2080-2099, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
22.386059, 2080-2099, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
15.205324, 2080-2099, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
8.907538, 2080-2099, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
3.2249637, 2080-2099, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
2.8513572, 2080-2099, ccsm4, Jan Average, Afghanistan, AFG
3.6359775, 2080-2099, ccsm4, Feb Average, Afghanistan, AFG
8.715263, 2080-2099, ccsm4, Mar Average, Afghanistan, AFG
14.974906, 2080-2099, ccsm4, Apr Average, Afghanistan, AFG
21.740377, 2080-2099, ccsm4, May Average, Afghanistan, AFG
