Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
29.76866, 2080-2099, bcc_csm1_1, Jan Average, Samoa, WSM
29.956852, 2080-2099, bcc_csm1_1, Feb Average, Samoa, WSM
30.186956, 2080-2099, bcc_csm1_1, Mar Average, Samoa, WSM
29.991642, 2080-2099, bcc_csm1_1, Apr Average, Samoa, WSM
29.599213, 2080-2099, bcc_csm1_1, May Average, Samoa, WSM
28.868494, 2080-2099, bcc_csm1_1, Jun Average, Samoa, WSM
28.306635, 2080-2099, bcc_csm1_1, Jul Average, Samoa, WSM
27.909876, 2080-2099, bcc_csm1_1, Aug Average, Samoa, WSM
27.88137, 2080-2099, bcc_csm1_1, Sep Average, Samoa, WSM
28.160719, 2080-2099, bcc_csm1_1, Oct Average, Samoa, WSM
28.696129, 2080-2099, bcc_csm1_1, Nov Average, Samoa, WSM
29.231977, 2080-2099, bcc_csm1_1, Dec Average, Samoa, WSM
30.832481, 2080-2099, bcc_csm1_1_m, Jan Average, Samoa, WSM
31.114195, 2080-2099, bcc_csm1_1_m, Feb Average, Samoa, WSM
31.095413, 2080-2099, bcc_csm1_1_m, Mar Average, Samoa, WSM
30.918833, 2080-2099, bcc_csm1_1_m, Apr Average, Samoa, WSM
30.143892, 2080-2099, bcc_csm1_1_m, May Average, Samoa, WSM
29.236408, 2080-2099, bcc_csm1_1_m, Jun Average, Samoa, WSM
28.520607, 2080-2099, bcc_csm1_1_m, Jul Average, Samoa, WSM
28.080648, 2080-2099, bcc_csm1_1_m, Aug Average, Samoa, WSM
28.256742, 2080-2099, bcc_csm1_1_m, Sep Average, Samoa, WSM
28.617214, 2080-2099, bcc_csm1_1_m, Oct Average, Samoa, WSM
29.24703, 2080-2099, bcc_csm1_1_m, Nov Average, Samoa, WSM
30.092585, 2080-2099, bcc_csm1_1_m, Dec Average, Samoa, WSM
29.295403, 2080-2099, ccsm4, Jan Average, Samoa, WSM
29.559406, 2080-2099, ccsm4, Feb Average, Samoa, WSM
29.658138, 2080-2099, ccsm4, Mar Average, Samoa, WSM
29.522123, 2080-2099, ccsm4, Apr Average, Samoa, WSM
29.210716, 2080-2099, ccsm4, May Average, Samoa, WSM
28.52629, 2080-2099, ccsm4, Jun Average, Samoa, WSM
27.886053, 2080-2099, ccsm4, Jul Average, Samoa, WSM
27.61789, 2080-2099, ccsm4, Aug Average, Samoa, WSM
27.643255, 2080-2099, ccsm4, Sep Average, Samoa, WSM
27.89125, 2080-2099, ccsm4, Oct Average, Samoa, WSM
28.303097, 2080-2099, ccsm4, Nov Average, Samoa, WSM
28.906246, 2080-2099, ccsm4, Dec Average, Samoa, WSM
29.099243, 2080-2099, cesm1_cam5, Jan Average, Samoa, WSM
29.46743, 2080-2099, cesm1_cam5, Feb Average, Samoa, WSM
29.335823, 2080-2099, cesm1_cam5, Mar Average, Samoa, WSM
29.238367, 2080-2099, cesm1_cam5, Apr Average, Samoa, WSM
28.99368, 2080-2099, cesm1_cam5, May Average, Samoa, WSM
28.343721, 2080-2099, cesm1_cam5, Jun Average, Samoa, WSM
27.710035, 2080-2099, cesm1_cam5, Jul Average, Samoa, WSM
27.39446, 2080-2099, cesm1_cam5, Aug Average, Samoa, WSM
27.512747, 2080-2099, cesm1_cam5, Sep Average, Samoa, WSM
27.851555, 2080-2099, cesm1_cam5, Oct Average, Samoa, WSM
28.222813, 2080-2099, cesm1_cam5, Nov Average, Samoa, WSM
28.697119, 2080-2099, cesm1_cam5, Dec Average, Samoa, WSM
29.60877, 2080-2099, csiro_mk3_6_0, Jan Average, Samoa, WSM
29.822521, 2080-2099, csiro_mk3_6_0, Feb Average, Samoa, WSM
30.011755, 2080-2099, csiro_mk3_6_0, Mar Average, Samoa, WSM
29.952036, 2080-2099, csiro_mk3_6_0, Apr Average, Samoa, WSM
29.21545, 2080-2099, csiro_mk3_6_0, May Average, Samoa, WSM
28.224117, 2080-2099, csiro_mk3_6_0, Jun Average, Samoa, WSM
27.553715, 2080-2099, csiro_mk3_6_0, Jul Average, Samoa, WSM
27.27959, 2080-2099, csiro_mk3_6_0, Aug Average, Samoa, WSM
27.43554, 2080-2099, csiro_mk3_6_0, Sep Average, Samoa, WSM
28.09569, 2080-2099, csiro_mk3_6_0, Oct Average, Samoa, WSM
28.61419, 2080-2099, csiro_mk3_6_0, Nov Average, Samoa, WSM
29.148619, 2080-2099, csiro_mk3_6_0, Dec Average, Samoa, WSM
28.554422, 2080-2099, fio_esm, Jan Average, Samoa, WSM
28.853708, 2080-2099, fio_esm, Feb Average, Samoa, WSM
28.966164, 2080-2099, fio_esm, Mar Average, Samoa, WSM
28.920164, 2080-2099, fio_esm, Apr Average, Samoa, WSM
28.498194, 2080-2099, fio_esm, May Average, Samoa, WSM
27.71973, 2080-2099, fio_esm, Jun Average, Samoa, WSM
27.128223, 2080-2099, fio_esm, Jul Average, Samoa, WSM
26.692875, 2080-2099, fio_esm, Aug Average, Samoa, WSM
26.498014, 2080-2099, fio_esm, Sep Average, Samoa, WSM
26.731539, 2080-2099, fio_esm, Oct Average, Samoa, WSM
27.331167, 2080-2099, fio_esm, Nov Average, Samoa, WSM
27.938347, 2080-2099, fio_esm, Dec Average, Samoa, WSM
29.675331, 2080-2099, gfdl_cm3, Jan Average, Samoa, WSM
29.908981, 2080-2099, gfdl_cm3, Feb Average, Samoa, WSM
29.969055, 2080-2099, gfdl_cm3, Mar Average, Samoa, WSM
29.742601, 2080-2099, gfdl_cm3, Apr Average, Samoa, WSM
29.161724, 2080-2099, gfdl_cm3, May Average, Samoa, WSM
28.060705, 2080-2099, gfdl_cm3, Jun Average, Samoa, WSM
27.272175, 2080-2099, gfdl_cm3, Jul Average, Samoa, WSM
27.233004, 2080-2099, gfdl_cm3, Aug Average, Samoa, WSM
27.847256, 2080-2099, gfdl_cm3, Sep Average, Samoa, WSM
28.166986, 2080-2099, gfdl_cm3, Oct Average, Samoa, WSM
28.689796, 2080-2099, gfdl_cm3, Nov Average, Samoa, WSM
29.293573, 2080-2099, gfdl_cm3, Dec Average, Samoa, WSM
28.883163, 2080-2099, gfdl_esm2m, Jan Average, Samoa, WSM
29.186451, 2080-2099, gfdl_esm2m, Feb Average, Samoa, WSM
