Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
18.390337, 2080-2099, bcc_csm1_1, Jan Average, Laos, LAO
21.367512, 2080-2099, bcc_csm1_1, Feb Average, Laos, LAO
26.02256, 2080-2099, bcc_csm1_1, Mar Average, Laos, LAO
28.74957, 2080-2099, bcc_csm1_1, Apr Average, Laos, LAO
29.150887, 2080-2099, bcc_csm1_1, May Average, Laos, LAO
27.53439, 2080-2099, bcc_csm1_1, Jun Average, Laos, LAO
26.229248, 2080-2099, bcc_csm1_1, Jul Average, Laos, LAO
26.331764, 2080-2099, bcc_csm1_1, Aug Average, Laos, LAO
25.868578, 2080-2099, bcc_csm1_1, Sep Average, Laos, LAO
24.446209, 2080-2099, bcc_csm1_1, Oct Average, Laos, LAO
21.484411, 2080-2099, bcc_csm1_1, Nov Average, Laos, LAO
18.060925, 2080-2099, bcc_csm1_1, Dec Average, Laos, LAO
18.480442, 2080-2099, bcc_csm1_1_m, Jan Average, Laos, LAO
21.163158, 2080-2099, bcc_csm1_1_m, Feb Average, Laos, LAO
25.262922, 2080-2099, bcc_csm1_1_m, Mar Average, Laos, LAO
30.108805, 2080-2099, bcc_csm1_1_m, Apr Average, Laos, LAO
30.827795, 2080-2099, bcc_csm1_1_m, May Average, Laos, LAO
28.47475, 2080-2099, bcc_csm1_1_m, Jun Average, Laos, LAO
27.899311, 2080-2099, bcc_csm1_1_m, Jul Average, Laos, LAO
27.724472, 2080-2099, bcc_csm1_1_m, Aug Average, Laos, LAO
27.313885, 2080-2099, bcc_csm1_1_m, Sep Average, Laos, LAO
25.57096, 2080-2099, bcc_csm1_1_m, Oct Average, Laos, LAO
21.694256, 2080-2099, bcc_csm1_1_m, Nov Average, Laos, LAO
18.742146, 2080-2099, bcc_csm1_1_m, Dec Average, Laos, LAO
15.452835, 2080-2099, ccsm4, Jan Average, Laos, LAO
17.969915, 2080-2099, ccsm4, Feb Average, Laos, LAO
23.131433, 2080-2099, ccsm4, Mar Average, Laos, LAO
27.323915, 2080-2099, ccsm4, Apr Average, Laos, LAO
27.814425, 2080-2099, ccsm4, May Average, Laos, LAO
27.03256, 2080-2099, ccsm4, Jun Average, Laos, LAO
26.60168, 2080-2099, ccsm4, Jul Average, Laos, LAO
26.48172, 2080-2099, ccsm4, Aug Average, Laos, LAO
25.861212, 2080-2099, ccsm4, Sep Average, Laos, LAO
22.956299, 2080-2099, ccsm4, Oct Average, Laos, LAO
19.69013, 2080-2099, ccsm4, Nov Average, Laos, LAO
16.817898, 2080-2099, ccsm4, Dec Average, Laos, LAO
17.905348, 2080-2099, cesm1_cam5, Jan Average, Laos, LAO
19.830845, 2080-2099, cesm1_cam5, Feb Average, Laos, LAO
24.048502, 2080-2099, cesm1_cam5, Mar Average, Laos, LAO
27.704842, 2080-2099, cesm1_cam5, Apr Average, Laos, LAO
28.35472, 2080-2099, cesm1_cam5, May Average, Laos, LAO
27.52772, 2080-2099, cesm1_cam5, Jun Average, Laos, LAO
26.811367, 2080-2099, cesm1_cam5, Jul Average, Laos, LAO
26.554495, 2080-2099, cesm1_cam5, Aug Average, Laos, LAO
26.209, 2080-2099, cesm1_cam5, Sep Average, Laos, LAO
24.230816, 2080-2099, cesm1_cam5, Oct Average, Laos, LAO
21.010803, 2080-2099, cesm1_cam5, Nov Average, Laos, LAO
18.841566, 2080-2099, cesm1_cam5, Dec Average, Laos, LAO
18.376509, 2080-2099, csiro_mk3_6_0, Jan Average, Laos, LAO
20.773493, 2080-2099, csiro_mk3_6_0, Feb Average, Laos, LAO
25.871443, 2080-2099, csiro_mk3_6_0, Mar Average, Laos, LAO
32.21002, 2080-2099, csiro_mk3_6_0, Apr Average, Laos, LAO
32.485584, 2080-2099, csiro_mk3_6_0, May Average, Laos, LAO
28.552963, 2080-2099, csiro_mk3_6_0, Jun Average, Laos, LAO
27.805256, 2080-2099, csiro_mk3_6_0, Jul Average, Laos, LAO
28.004505, 2080-2099, csiro_mk3_6_0, Aug Average, Laos, LAO
27.009846, 2080-2099, csiro_mk3_6_0, Sep Average, Laos, LAO
25.34857, 2080-2099, csiro_mk3_6_0, Oct Average, Laos, LAO
22.70474, 2080-2099, csiro_mk3_6_0, Nov Average, Laos, LAO
19.081734, 2080-2099, csiro_mk3_6_0, Dec Average, Laos, LAO
15.994747, 2080-2099, fio_esm, Jan Average, Laos, LAO
19.138214, 2080-2099, fio_esm, Feb Average, Laos, LAO
24.185085, 2080-2099, fio_esm, Mar Average, Laos, LAO
28.488327, 2080-2099, fio_esm, Apr Average, Laos, LAO
29.708168, 2080-2099, fio_esm, May Average, Laos, LAO
28.539988, 2080-2099, fio_esm, Jun Average, Laos, LAO
26.833792, 2080-2099, fio_esm, Jul Average, Laos, LAO
26.512266, 2080-2099, fio_esm, Aug Average, Laos, LAO
25.699297, 2080-2099, fio_esm, Sep Average, Laos, LAO
23.51709, 2080-2099, fio_esm, Oct Average, Laos, LAO
20.406942, 2080-2099, fio_esm, Nov Average, Laos, LAO
17.314474, 2080-2099, fio_esm, Dec Average, Laos, LAO
18.682817, 2080-2099, gfdl_cm3, Jan Average, Laos, LAO
21.646935, 2080-2099, gfdl_cm3, Feb Average, Laos, LAO
26.63917, 2080-2099, gfdl_cm3, Mar Average, Laos, LAO
31.295542, 2080-2099, gfdl_cm3, Apr Average, Laos, LAO
31.092949, 2080-2099, gfdl_cm3, May Average, Laos, LAO
28.0747, 2080-2099, gfdl_cm3, Jun Average, Laos, LAO
27.719206, 2080-2099, gfdl_cm3, Jul Average, Laos, LAO
27.021296, 2080-2099, gfdl_cm3, Aug Average, Laos, LAO
25.836464, 2080-2099, gfdl_cm3, Sep Average, Laos, LAO
24.415424, 2080-2099, gfdl_cm3, Oct Average, Laos, LAO
20.892094, 2080-2099, gfdl_cm3, Nov Average, Laos, LAO
18.313232, 2080-2099, gfdl_cm3, Dec Average, Laos, LAO
16.366285, 2080-2099, gfdl_esm2m, Jan Average, Laos, LAO
20.308102, 2080-2099, gfdl_esm2m, Feb Average, Laos, LAO
26.250015, 2080-2099, gfdl_esm2m, Mar Average, Laos, LAO
30.39697, 2080-2099, gfdl_esm2m, Apr Average, Laos, LAO
29.63858, 2080-2099, gfdl_esm2m, May Average, Laos, LAO
27.188093, 2080-2099, gfdl_esm2m, Jun Average, Laos, LAO
26.324625, 2080-2099, gfdl_esm2m, Jul Average, Laos, LAO
26.006716, 2080-2099, gfdl_esm2m, Aug Average, Laos, LAO
24.407812, 2080-2099, gfdl_esm2m, Sep Average, Laos, LAO
21.784624, 2080-2099, gfdl_esm2m, Oct Average, Laos, LAO
18.61834, 2080-2099, gfdl_esm2m, Nov Average, Laos, LAO
16.196356, 2080-2099, gfdl_esm2m, Dec Average, Laos, LAO
19.794827, 2080-2099, giss_e2_h, Jan Average, Laos, LAO
22.171484, 2080-2099, giss_e2_h, Feb Average, Laos, LAO
25.964437, 2080-2099, giss_e2_h, Mar Average, Laos, LAO
27.87858, 2080-2099, giss_e2_h, Apr Average, Laos, LAO
28.227682, 2080-2099, giss_e2_h, May Average, Laos, LAO
27.66399, 2080-2099, giss_e2_h, Jun Average, Laos, LAO
27.688925, 2080-2099, giss_e2_h, Jul Average, Laos, LAO
27.725933, 2080-2099, giss_e2_h, Aug Average, Laos, LAO
26.032305, 2080-2099, giss_e2_h, Sep Average, Laos, LAO
23.858852, 2080-2099, giss_e2_h, Oct Average, Laos, LAO
21.340014, 2080-2099, giss_e2_h, Nov Average, Laos, LAO
19.193228, 2080-2099, giss_e2_h, Dec Average, Laos, LAO
20.964548, 2080-2099, giss_e2_r, Jan Average, Laos, LAO
23.568918, 2080-2099, giss_e2_r, Feb Average, Laos, LAO
26.53373, 2080-2099, giss_e2_r, Mar Average, Laos, LAO
28.517683, 2080-2099, giss_e2_r, Apr Average, Laos, LAO
28.894081, 2080-2099, giss_e2_r, May Average, Laos, LAO
28.025764, 2080-2099, giss_e2_r, Jun Average, Laos, LAO
