Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
21.429222, 2080-2099, bcc_csm1_1, Jan Average, Oman, OMN
22.553085, 2080-2099, bcc_csm1_1, Feb Average, Oman, OMN
25.566921, 2080-2099, bcc_csm1_1, Mar Average, Oman, OMN
30.28682, 2080-2099, bcc_csm1_1, Apr Average, Oman, OMN
33.790115, 2080-2099, bcc_csm1_1, May Average, Oman, OMN
35.555992, 2080-2099, bcc_csm1_1, Jun Average, Oman, OMN
34.16964, 2080-2099, bcc_csm1_1, Jul Average, Oman, OMN
33.349457, 2080-2099, bcc_csm1_1, Aug Average, Oman, OMN
33.106926, 2080-2099, bcc_csm1_1, Sep Average, Oman, OMN
31.396378, 2080-2099, bcc_csm1_1, Oct Average, Oman, OMN
26.805546, 2080-2099, bcc_csm1_1, Nov Average, Oman, OMN
22.894073, 2080-2099, bcc_csm1_1, Dec Average, Oman, OMN
20.811825, 2080-2099, bcc_csm1_1_m, Jan Average, Oman, OMN
21.845184, 2080-2099, bcc_csm1_1_m, Feb Average, Oman, OMN
26.709301, 2080-2099, bcc_csm1_1_m, Mar Average, Oman, OMN
31.548738, 2080-2099, bcc_csm1_1_m, Apr Average, Oman, OMN
35.48048, 2080-2099, bcc_csm1_1_m, May Average, Oman, OMN
35.913578, 2080-2099, bcc_csm1_1_m, Jun Average, Oman, OMN
35.29574, 2080-2099, bcc_csm1_1_m, Jul Average, Oman, OMN
34.122158, 2080-2099, bcc_csm1_1_m, Aug Average, Oman, OMN
33.471535, 2080-2099, bcc_csm1_1_m, Sep Average, Oman, OMN
31.355719, 2080-2099, bcc_csm1_1_m, Oct Average, Oman, OMN
27.133179, 2080-2099, bcc_csm1_1_m, Nov Average, Oman, OMN
22.713213, 2080-2099, bcc_csm1_1_m, Dec Average, Oman, OMN
20.304018, 2080-2099, ccsm4, Jan Average, Oman, OMN
21.680435, 2080-2099, ccsm4, Feb Average, Oman, OMN
26.115633, 2080-2099, ccsm4, Mar Average, Oman, OMN
30.668037, 2080-2099, ccsm4, Apr Average, Oman, OMN
34.64237, 2080-2099, ccsm4, May Average, Oman, OMN
35.932224, 2080-2099, ccsm4, Jun Average, Oman, OMN
34.808342, 2080-2099, ccsm4, Jul Average, Oman, OMN
33.91284, 2080-2099, ccsm4, Aug Average, Oman, OMN
33.083153, 2080-2099, ccsm4, Sep Average, Oman, OMN
29.627062, 2080-2099, ccsm4, Oct Average, Oman, OMN
26.116095, 2080-2099, ccsm4, Nov Average, Oman, OMN
22.38822, 2080-2099, ccsm4, Dec Average, Oman, OMN
21.627026, 2080-2099, cesm1_cam5, Jan Average, Oman, OMN
