Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
6.0329566, 2080-2099, bcc_csm1_1, Jan Average, Denmark, DNK
5.3090506, 2080-2099, bcc_csm1_1, Feb Average, Denmark, DNK
5.738506, 2080-2099, bcc_csm1_1, Mar Average, Denmark, DNK
7.5932026, 2080-2099, bcc_csm1_1, Apr Average, Denmark, DNK
11.761355, 2080-2099, bcc_csm1_1, May Average, Denmark, DNK
15.188612, 2080-2099, bcc_csm1_1, Jun Average, Denmark, DNK
18.14114, 2080-2099, bcc_csm1_1, Jul Average, Denmark, DNK
18.597164, 2080-2099, bcc_csm1_1, Aug Average, Denmark, DNK
16.349827, 2080-2099, bcc_csm1_1, Sep Average, Denmark, DNK
12.775746, 2080-2099, bcc_csm1_1, Oct Average, Denmark, DNK
9.704005, 2080-2099, bcc_csm1_1, Nov Average, Denmark, DNK
7.218458, 2080-2099, bcc_csm1_1, Dec Average, Denmark, DNK
6.1423235, 2080-2099, bcc_csm1_1_m, Jan Average, Denmark, DNK
5.4370227, 2080-2099, bcc_csm1_1_m, Feb Average, Denmark, DNK
5.7116966, 2080-2099, bcc_csm1_1_m, Mar Average, Denmark, DNK
7.4742303, 2080-2099, bcc_csm1_1_m, Apr Average, Denmark, DNK
10.73965, 2080-2099, bcc_csm1_1_m, May Average, Denmark, DNK
14.379542, 2080-2099, bcc_csm1_1_m, Jun Average, Denmark, DNK
16.865816, 2080-2099, bcc_csm1_1_m, Jul Average, Denmark, DNK
17.513083, 2080-2099, bcc_csm1_1_m, Aug Average, Denmark, DNK
14.982675, 2080-2099, bcc_csm1_1_m, Sep Average, Denmark, DNK
12.276218, 2080-2099, bcc_csm1_1_m, Oct Average, Denmark, DNK
9.59507, 2080-2099, bcc_csm1_1_m, Nov Average, Denmark, DNK
7.3305235, 2080-2099, bcc_csm1_1_m, Dec Average, Denmark, DNK
6.952527, 2080-2099, ccsm4, Jan Average, Denmark, DNK
6.7930284, 2080-2099, ccsm4, Feb Average, Denmark, DNK
7.6331553, 2080-2099, ccsm4, Mar Average, Denmark, DNK
10.167752, 2080-2099, ccsm4, Apr Average, Denmark, DNK
13.650046, 2080-2099, ccsm4, May Average, Denmark, DNK
18.052618, 2080-2099, ccsm4, Jun Average, Denmark, DNK
21.01423, 2080-2099, ccsm4, Jul Average, Denmark, DNK
21.579903, 2080-2099, ccsm4, Aug Average, Denmark, DNK
19.157545, 2080-2099, ccsm4, Sep Average, Denmark, DNK
15.658162, 2080-2099, ccsm4, Oct Average, Denmark, DNK
11.532216, 2080-2099, ccsm4, Nov Average, Denmark, DNK
9.010564, 2080-2099, ccsm4, Dec Average, Denmark, DNK
7.3552666, 2080-2099, cesm1_cam5, Jan Average, Denmark, DNK
6.8390055, 2080-2099, cesm1_cam5, Feb Average, Denmark, DNK
7.6435566, 2080-2099, cesm1_cam5, Mar Average, Denmark, DNK
10.277206, 2080-2099, cesm1_cam5, Apr Average, Denmark, DNK
14.51794, 2080-2099, cesm1_cam5, May Average, Denmark, DNK
18.462791, 2080-2099, cesm1_cam5, Jun Average, Denmark, DNK
20.986954, 2080-2099, cesm1_cam5, Jul Average, Denmark, DNK
21.568583, 2080-2099, cesm1_cam5, Aug Average, Denmark, DNK
18.929813, 2080-2099, cesm1_cam5, Sep Average, Denmark, DNK
15.294348, 2080-2099, cesm1_cam5, Oct Average, Denmark, DNK
11.334684, 2080-2099, cesm1_cam5, Nov Average, Denmark, DNK
9.053429, 2080-2099, cesm1_cam5, Dec Average, Denmark, DNK
