"","country","continent","continent_ssaf"
"1","AE","MENA","MENA"
"2","AL","EECA","EECA"
"3","AO","SSAF","MA"
"4","AT","WEOFF","WEOFF"
"5","BA","EECA","EECA"
"6","BE","WEOFF","WEOFF"
"7","BF","SSAF","WAF"
"8","BG","EECA","EECA"
"9","BH","MENA","MENA"
"10","BI","SSAF","EAF"
"11","BJ","SSAF","WAF"
"12","BR","LAC","LAC"
"13","BW","SSAF","SAF"
"14","CF","SSAF","MA"
"15","CG","SSAF","MA"
"16","CH","WEOFF","WEOFF"
"17","CM","SSAF","MA"
"18","CN","SEAS","SEAS"
"19","CV","SSAF","WAF"
"20","CY","EECA","EECA"
"21","CZ","WEOFF","WEOFF"
"22","DE","WEOFF","WEOFF"
"23","DJ","MENA","EAF"
"24","DK","WEOFF","WEOFF"
"25","DZ","MENA","MENA"
"26","EE","EECA","EECA"
"27","EG","MENA","MENA"
"28","ER","SSAF","EAF"
"29","ES","WEOFF","WEOFF"
"30","ET","SSAF","EAF"
"31","FI","WEOFF","WEOFF"
"32","FR","WEOFF","WEOFF"
"33","GA","SSAF","MA"
"34","GB","WEOFF","WEOFF"
"35","GH","SSAF","WAF"
"36","GM","SSAF","WAF"
"37","GN","SSAF","WAF"
"38","GQ","SSAF","MA"
"39","GR","WEOFF","WEOFF"
"40","GW","SSAF","WAF"
"41","HR","EECA","EECA"
"42","HU","EECA","EECA"
"43","IE","WEOFF","WEOFF"
"44","IN","SEAS","SEAS"
"45","IQ","MENA","MENA"
"46","IR","MENA","MENA"
"47","IS","WEOFF","WEOFF"
"48","IT","WEOFF","WEOFF"
"49","JO","MENA","MENA"
"50","KE","SSAF","EAF"
"51","KM","SSAF","EAF"
"52","KW","MENA","MENA"
"53","LB","MENA","MENA"
"54","LR","SSAF","WAF"
"55","LS","SSAF","SAF"
"56","LT","EECA","EECA"
"57","LU","WEOFF","WEOFF"
"58","LV","EECA","EECA"
"59","LY","MENA","MENA"
"60","MA","MENA","MENA"
"61","MD","EECA","EECA"
"62","ME","EECA","EECA"
"63","MG","SSAF","EAF"
"64","MK","EECA","EECA"
"65","ML","SSAF","WAF"
"66","MR","SSAF","WAF"
"67","MT","EECA","EECA"
"68","MU","SSAF","EAF"
"69","MW","SSAF","EAF"
"70","MZ","SSAF","EAF"
"71","NE","SSAF","WAF"
"72","NG","SSAF","WAF"
"73","NL","WEOFF","WEOFF"
"74","NO","WEOFF","WEOFF"
"75","OM","MENA","MENA"
"76","PL","EECA","EECA"
"77","PT","WEOFF","WEOFF"
"78","QA","MENA","MENA"
"79","RS","EECA","EECA"
"80","RU","EECA","EECA"
"81","RW","SSAF","EAF"
"82","SA","MENA","MENA"
"83","SC","SSAF","EAF"
"84","SD","SSAF","EAF"
"85","SE","WEOFF","WEOFF"
"86","SI","EECA","EECA"
"87","SK","EECA","EECA"
"88","SL","SSAF","WAF"
"89","SN","SSAF","WAF"
"90","ST","SSAF","MA"
"91","SY","MENA","MENA"
"92","SZ","SSAF","SAF"
"93","TD","SSAF","MA"
"94","TG","SSAF","WAF"
"95","TH","SEAS","SEAS"
"96","TN","MENA","MENA"
"97","TR","EECA","EECA"
"98","TZ","SSAF","EAF"
"99","UG","SSAF","EAF"
"100","US","WEOFF","WEOFF"
"101","YE","MENA","MENA"
"102","ZA","SSAF","SAF"
"103","ZM","SSAF","EAF"
"104","ZW","SSAF","EAF"
"105","NA","SSAF","SAF"
