"","Domain Code","Domain","Area Code (FAO)","Area","Element Code","Element","Item Code","Item","Year Code","Year","Months Code","Months","Unit","Value","Flag","Flag Description","...1","country","variable","percentile","value","country_iso3","X1","AgrGDP","Pop","TotGDP","gdpCAP_wdi","gdpCAPppp_wdi","NonAgrGDP","growthWDI","AgrGDPgrowth","AgrGDPgrowthCap","TotGDPgrowth","TotGDPgrowthCap","NonAgrGDPgrowth","NonAgrGDPgrowthCap","firstyrWDIppp","GDPpctile_WDIppp","firstyrWDI","GDPpctile_WDI","continent","OilGDP","oil","gdpCAPppp","rgdpCAPgr","fid","UDel_temp_popweight","UDel_precip_popweight","UDel_precip_popweight_2","wdinomiss","bottom50","temp_sq","gdp_sq","temp_third","prec_third","temp_times_gdppc","prec_times_gdppc","time_trend","time_trend_sq","agri_share","avg_agri_share","Country Name","Indicator Name","Indicator Code","X65","agri_emp","avg_agri_emp","Above50","agri_bottom25","agri_25_50","agri_50_75","agri_top25","min_year","int_2007","agri_top50","agri_b25","agri_m_25_50","agri_m_50_75","agri_top_25","agri_top10","agri_b90","agri_top1","agri_b99","agri_top5","agri_b95","agri_top20","agri_b80","agri_b75","agri_b50"
"1","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",1996,1996,7021,"Annual value",NA,55,"Im","FAO data based on imputation methodology",24,"AL","sptinc992j","p0p50",0.2098,"ALB",133,1551063517,3168033,5388301602,1700.835061,4406.554942,3837238016,0.0933098196983337,0.0295119974762201,0.035727109760046,0.087094709277153,0.0933098196983337,0.111345268785954,0.117560379207134,1990,41,1980,42,"EECA",4.72280120849609,0,4361.0263671875,0.0962276458740234,5,12.8,1.23615,1.5280668225,33,0.2098,163.84,19018550.9753046,2097.152,1888919802.63338,55821.1375,5390882.74379883,37,1369,0.287857590678347,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.9900016784668,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"2","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",1997,1997,7021,"Annual value",NA,71,"Im","FAO data based on imputation methodology",25,"AL","sptinc992j","p0p50",0.2059,"ALB",134,1400610270,3148281,4838694838,1536.932325,3981.912701,3438084608,-0.101330906152725,-0.102032788097858,-0.0957784876227379,-0.107585214078426,-0.101330906152725,-0.109838321805,-0.10358402132988,1990,41,1980,42,"EECA",4.72280120849609,0,3951.57495117188,-0.10804271697998,5,12.84,0.92372,0.8532586384,33,0.2059,164.8656,15614944.594729,2116.874304,788172069.462848,50738.2223730469,3650148.81389649,38,1444,0.289460343520841,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.6969985961914,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"3","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",1998,1998,7021,"Annual value",NA,73,"Im","FAO data based on imputation methodology",26,"AL","sptinc992j","p0p50",0.2017,"ALB",135,1469240172,3128530,5453209083,1743.057948,4515.946778,3983969024,0.125852584838867,0.0478373281657696,0.0541306734085083,0.119559235870838,0.125852584838867,0.147364050149918,0.153657391667366,1990,41,1980,42,"EECA",4.72280120849609,0,3943.6982421875,0.0904273986816406,5,13.4,1.21711,1.4813567521,33,0.2017,179.56,15552755.8254328,2406.104,1802974116.54843,52845.5564453125,4799914.56754883,39,1521,0.269426708134162,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.5299987792969,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"4","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",1999,1999,7021,"Annual value",NA,69,"Im","FAO data based on imputation methodology",27,"AL","sptinc992j","p0p50",0.1994,"ALB",136,1475117216,3108778,6003983200,1931.30008,5003.647976,4528865792,0.102552384138107,0.00399207789450884,0.0103256003931165,0.0962188541889191,0.102552384138107,0.128192961215973,0.134526491165161,1990,41,1980,42,"EECA",4.72280120849609,0,4558.173828125,0.128695487976074,5,13.91,1.26019,1.5880788361,33,0.1994,193.4881,20776948.6474037,2691.419471,2001281068.46486,63404.1979492188,5744165.07646484,40,1600,0.245689764088614,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.4010009765625,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"5","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2000,2000,7021,"Annual value",NA,70,"Im","FAO data based on imputation methodology",28,"AL","sptinc992j","p0p50",0.1974,"ALB",137,1541497452,3089027,6442273974,2085.535016,5403.242701,4900776448,0.0768320336937904,0.0440168604254723,0.0503904297947884,0.0704584643244743,0.0768320336937904,0.0789221227169037,0.0852956920862198,1990,41,1980,42,"EECA",4.72280120849609,0,4678.17138671875,0.064427375793457,5,14.18,1.08395,1.1749476025,33,0.1974,201.0724,21885287.523514,2851.206632,1273584453.72988,66336.4702636719,5070903.87463379,41,1681,0.239278468786214,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.226001739502,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"6","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2001,2001,7021,"Annual value",NA,71,"Im","FAO data based on imputation methodology",29,"AL","sptinc992j","p0p50",0.1953,"ALB",138,1575175684,3064111,6893233152,2249.668224,5828.482053,5318057472,0.0757573246955872,0.0216124951839447,0.0297111719846725,0.0676586478948593,0.0757573246955872,0.0817144513130188,0.0898131281137466,1990,41,1980,42,"EECA",4.72280120849609,0,4818.984375,0.074610710144043,5,13.86,1.0476,1.09746576,33,0.1953,192.0996,23222610.4064941,2662.500456,1149705130.176,66791.1234375,5048368.03125,42,1764,0.228510431791064,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,46.0579986572266,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"7","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2002,2002,7021,"Annual value",NA,73,"Im","FAO data based on imputation methodology",30,"AL","sptinc992j","p0p50",0.193,"ALB",139,1600408856,3051427,7093136913,2324.531084,6022.438137,5492727808,0.0327355861663818,0.015892319381237,0.0200404487550259,0.028587456792593,0.0327355861663818,0.0323169007897377,0.0364650301635265,1990,41,1980,42,"EECA",4.72280120849609,0,4837.07763671875,0.0374221801757812,5,13.9,1.20877,1.4611249129,33,0.193,193.21,23397320.0636446,2685.619,1766163960.96613,67235.3791503906,5846914.33493652,43,1849,0.225627797070551,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.8580017089844,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"8","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2003,2003,7021,"Annual value",NA,75,"Im","FAO data based on imputation methodology",31,"AL","sptinc992j","p0p50",0.1943,"ALB",140,1574498010,3033659,7497445717,2471.420063,6403.00082,5922947584,0.0612745769321918,-0.0163226332515478,-0.0104827657341957,0.0554347075521946,0.0612745769321918,0.0754092261195183,0.0812490954995155,1990,41,1980,42,"EECA",4.72280120849609,0,5044.96484375,0.050349235534668,5,14.29,1.22038,1.4893273444,33,0.1943,204.2041,25451670.2746735,2918.076589,1817545304.55887,72092.5476171875,6156774.19601563,44,1936,0.210004589487047,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.6650009155273,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"9","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2004,2004,7021,"Annual value",NA,72,"Im","FAO data based on imputation methodology",32,"AL","sptinc992j","p0p50",0.1985,"ALB",141,1631179939,3014579,7939795015,2633.798953,6823.695053,6308615168,0.0636343657970428,0.0353671424090862,0.041676439344883,0.0573250651359558,0.0636343657970428,0.0630819573998451,0.0693912580609322,1990,41,1980,42,"EECA",4.72280120849609,0,5252.40234375,0.0493526458740234,5,13.68,1.36614,1.8663384996,33,0.1985,187.1424,27587730.3806305,2560.108032,2549679677.84354,71852.8640625,7175516.93789063,45,2025,0.205443583356793,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.4710006713867,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
"10","PP","Producer Prices",3,"Albania",5539,"Producer Price Index (2014-2016 = 100)",2051,"Agriculture",2005,2005,7021,"Annual value",NA,71,"Im","FAO data based on imputation methodology",33,"AL","sptinc992j","p0p50",0.2002,"ALB",142,1642598198,2992724,8376483740,2798.949633,7251.570488,6733885440,0.0608169436454773,0.00697561353445053,0.0142517890781164,0.0535407662391663,0.0608169436454773,0.0652361214160919,0.072512298822403,1990,41,1980,42,"EECA",4.72280120849609,0,5533.09375,0.0505914688110352,5,13.1,1.32625,1.7589390625,33,0.2002,171.61,30615126.4462891,2248.091,2332792931.64062,72483.528125,7338265.5859375,46,2116,0.196096387098102,0.218913949287955,"Albania","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS",NA,45.2709999084473,45.4170555538601,1,0,0,1,0,1996,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0
