Gini initial,Gini mean final,SE,Scenario
0.6807780160550921,0.7573129097506955,8.925520947159195e-4,Baseline - Global - Prec
0.6807780160550921,0.845177994092337,0.00502269780989791,Baseline - Global - Prec+Temp
0.47957156536091594,0.6966720245719873,0.00565902376746344,Baseline - Top20 - Prec
0.47957156536091594,0.8534346588339784,0.01284664655032562,Baseline - Top20 - Prec+Temp
0.6807780160550921,0.6797847791357615,0.00231961537201491,Only climate no outliers - Global - Prec
0.6807780160550921,0.8219208521105457,0.00523928725695297,Only climate no outliers - Global - Prec+Temp
0.47957156536091594,0.6381701743255898,0.01432005355219918,Only climate no outliers - Top20 - Prec
0.47957156536091594,0.8194691163747108,0.01862525309831355,Only climate no outliers - Top20 - Prec+Temp
0.6807780160550921,0.7568166592715458,NA,Hist no climate no outliers - Global
0.47957156536091594,0.6383400510833749,NA,Hist no climate no outliers - Top20
