country,impact_prec_b50,impact_prec_gdp,impact_temp_gdp,impact_prec_and_temp_gdp,mean_impact_b50,mean_impact_prec_gdp,mean_impact_temp_gdp,mean_impact_prec_and_temp_gdp
AE,NA,NA,NA,NA,NA,NA,NA,NA
AE.1,NA,NA,NA,NA,NA,NA,NA,NA
AE.2,NA,NA,NA,NA,NA,NA,NA,NA
AE.3,NA,NA,NA,NA,NA,NA,NA,NA
AE.4,NA,NA,NA,NA,NA,NA,NA,NA
AE.5,NA,NA,NA,NA,NA,NA,NA,NA
AE.6,NA,NA,NA,NA,NA,NA,NA,NA
AE.7,NA,NA,NA,NA,NA,NA,NA,NA
AE.8,NA,NA,NA,NA,NA,NA,NA,NA
AE.9,NA,NA,NA,NA,NA,NA,NA,NA
AE.10,NA,NA,NA,NA,NA,NA,NA,NA
AE.11,NA,NA,NA,NA,NA,NA,NA,NA
AE.12,NA,NA,NA,NA,NA,NA,NA,NA
AE.13,NA,NA,NA,NA,NA,NA,NA,NA
AE.14,NA,NA,NA,NA,NA,NA,NA,NA
AE.15,NA,NA,NA,NA,NA,NA,NA,NA
AL,NA,NA,NA,NA,NA,NA,NA,NA
AL.1,NA,NA,NA,NA,NA,NA,NA,NA
AL.2,NA,NA,NA,NA,NA,NA,NA,NA
AL.3,NA,NA,NA,NA,NA,NA,NA,NA
AL.4,NA,NA,NA,NA,NA,NA,NA,NA
AL.5,NA,NA,NA,NA,NA,NA,NA,NA
AL.6,NA,NA,NA,NA,NA,NA,NA,NA
AL.7,NA,NA,NA,NA,NA,NA,NA,NA
AL.8,NA,NA,NA,NA,NA,NA,NA,NA
AL.9,NA,NA,NA,NA,NA,NA,NA,NA
AL.10,NA,NA,NA,NA,NA,NA,NA,NA
AL.11,NA,NA,NA,NA,NA,NA,NA,NA
AL.12,NA,NA,NA,NA,NA,NA,NA,NA
AL.13,NA,NA,NA,NA,NA,NA,NA,NA
AL.14,NA,NA,NA,NA,NA,NA,NA,NA
AL.15,NA,NA,NA,NA,NA,NA,NA,NA
AO,NA,NA,NA,NA,NA,NA,NA,NA
AO.1,NA,NA,NA,NA,NA,NA,NA,NA
AO.2,NA,NA,NA,NA,NA,NA,NA,NA
AO.3,NA,NA,NA,NA,NA,NA,NA,NA
AO.4,NA,NA,NA,NA,NA,NA,NA,NA
AO.5,NA,NA,NA,NA,NA,NA,NA,NA
AO.6,NA,NA,NA,NA,NA,NA,NA,NA
AO.7,NA,NA,NA,NA,NA,NA,NA,NA
AO.8,NA,NA,NA,NA,NA,NA,NA,NA
AO.9,NA,NA,NA,NA,NA,NA,NA,NA
AO.10,NA,NA,NA,NA,NA,NA,NA,NA
AO.11,NA,NA,NA,NA,NA,NA,NA,NA
AO.12,NA,NA,NA,NA,NA,NA,NA,NA
AO.13,NA,NA,NA,NA,NA,NA,NA,NA
AO.14,NA,NA,NA,NA,NA,NA,NA,NA
AO.15,NA,NA,NA,NA,NA,NA,NA,NA
AT,0.01640224553849163,0.5986299448396097,0.5842642846376133,0.5842642846376133,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.1,0.013036559652823953,0.6110246721819814,0.6663708747239914,0.6663708747239914,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.2,0.009539516333321583,0.6239059192750798,0.6970701017509912,0.6970701017509912,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.3,0.013707485225561191,0.6085570083331007,0.7274218689544231,0.7274218689544231,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.4,0.004661835019993794,0.6421731652126479,0.6249079548967872,0.6249079548967872,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.5,0.008797027674727844,0.6266535782717043,0.7106780514480691,0.7106780514480691,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.6,0.018549273882372357,0.5906820552566989,0.3565524552032265,0.3565524552032265,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.7,0.007914094308932836,0.6299317941159431,0.9204152219761503,0.9204152219761503,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.8,3.759029259586128e-4,0.6591890953771558,0.9165631754407348,0.9165631754407348,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.9,3.744099347569601e-4,0.6591953578357668,0.9682468426129244,0.9682468426129244,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.10,0.006186905076610719,0.6363923319639507,0.7875438867121787,0.7875438867121787,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.11,0.0016478833459751252,0.6539645017006576,-0.11891500474405167,-0.11891500474405167,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.12,0.001991236137873389,0.6525860932183706,-0.16347791092027558,-0.16347791092027558,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.13,0.003885799589602571,0.6451532629247645,0.42980750500151116,0.42980750500151116,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.14,-6.930090940805963e-4,0.6637759001440152,1.019323892270502,1.019323892270502,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
AT.15,0.012095462041696444,0.6144860893480959,0.701392218948347,0.701392218948347,0.0074045392246636504,0.6322687981249714,0.6142603386820702,0.6142603386820702
BA,0.013348297668582833,2.8777008899339274,1.602416709030703,1.602416709030703,0.007147358419346035,3.0777068796293907,1.4196827157233336,1.4196827157233336
BA.1,0.014594276678902878,2.838747766373673,1.3568715574732948,1.3568715574732948,0.007147358419346035,3.0777068796293907,1.4196827157233336,1.4196827157233336
BA.2,0.007265406894938411,3.069396658402849,1.3685312285200493,1.3685312285200493,0.007147358419346035,3.0777068796293907,1.4196827157233336,1.4196827157233336
BA.3,0.008050772679375363,3.044330729287797,1.2612169287048014,1.2612169287048014,0.007147358419346035,3.0777068796293907,1.4196827157233336,1.4196827157233336
BA.4,0.006307418118232546,3.1002192994066604,0.8882832330342271,0.8882832330342271,0.007147358419346035,3.0777068796293907,1.4196827157233336,1.4196827157233336
