"","REGION","year","gdp_pc_proj","MODEL.x","SCENARIO.x","gdp_pc_proj_interp","pc_gdp_growth_ssp","country_iso2"
"1","ARG",2010,12108.1762687683,"IIASA GDP","SSP2_v9_130219",12108.1762687683,NA,"AR"
"2","ARG",2011,NA,NA,NA,12560.6616985165,0.0366888935601004,"AR"
"3","ARG",2012,NA,NA,NA,13013.1471282646,0.0353903213280162,"AR"
"4","ARG",2013,NA,NA,NA,13465.6325580128,0.03418053912063,"AR"
"5","ARG",2014,NA,NA,NA,13918.117987761,0.033050740633092,"AR"
"6","ARG",2015,14370.6034175092,"IIASA GDP","SSP2_v9_130219",14370.6034175092,0.0319932469482591,"AR"
"7","ARG",2016,NA,NA,NA,14869.1298621096,0.034102551740407,"AR"
"8","ARG",2017,NA,NA,NA,15367.65630671,0.0329778185733094,"AR"
"9","ARG",2018,NA,NA,NA,15866.1827513104,0.0319249122382068,"AR"
"10","ARG",2019,NA,NA,NA,16364.7091959108,0.0309371646779013,"AR"
"11","ARG",2020,16863.2356405112,"IIASA GDP","SSP2_v9_130219",16863.2356405112,0.0300087084944245,"AR"
"12","ARG",2021,NA,NA,NA,17292.8222473856,0.0251556700047804,"AR"
"13","ARG",2022,NA,NA,NA,17722.4088542601,0.0245383593803314,"AR"
"14","ARG",2023,NA,NA,NA,18151.9954611345,0.0239506216352154,"AR"
"15","ARG",2024,NA,NA,NA,18581.5820680089,0.0233903813087704,"AR"
"16","ARG",2025,19011.1686748833,"IIASA GDP","SSP2_v9_130219",19011.1686748833,0.0228557527202646,"AR"
"17","ARG",2026,NA,NA,NA,19414.9233799909,0.0210153852833432,"AR"
"18","ARG",2027,NA,NA,NA,19818.6780850986,0.0205828139262039,"AR"
"19","ARG",2028,NA,NA,NA,20222.4327902062,0.0201676917204594,"AR"
"20","ARG",2029,NA,NA,NA,20626.1874953138,0.0197689837048358,"AR"
"21","ARG",2030,21029.9422004215,"IIASA GDP","SSP2_v9_130219",21029.9422004215,0.0193857351825795,"AR"
"22","ARG",2031,NA,NA,NA,21423.5642095009,0.0185442062362267,"AR"
"23","ARG",2032,NA,NA,NA,21817.1862185803,0.0182065703415546,"AR"
"24","ARG",2033,NA,NA,NA,22210.8082276598,0.0178810096494946,"AR"
"25","ARG",2034,NA,NA,NA,22604.4302367392,0.0175668877379707,"AR"
"26","ARG",2035,22998.0522458187,"IIASA GDP","SSP2_v9_130219",22998.0522458187,0.0172636121372403,"AR"
"27","ARG",2036,NA,NA,NA,23386.9821800307,0.0167700230904106,"AR"
"28","ARG",2037,NA,NA,NA,23775.9121142427,0.0164934216529868,"AR"
"29","ARG",2038,NA,NA,NA,24164.8420484547,0.0162257967767179,"AR"
"30","ARG",2039,NA,NA,NA,24553.7719826667,0.0159667184546102,"AR"
"31","ARG",2040,24942.7019168786,"IIASA GDP","SSP2_v9_130219",24942.7019168786,0.0157157837135848,"AR"
"32","ARG",2041,NA,NA,NA,25402.9958654225,0.0182858434597346,"AR"
"33","ARG",2042,NA,NA,NA,25863.2898139664,0.0179574670429261,"AR"
"34","ARG",2043,NA,NA,NA,26323.5837625103,0.017640676807881,"AR"
"35","ARG",2044,NA,NA,NA,26783.8777110541,0.0173348701728315,"AR"
"36","ARG",2045,27244.171659598,"IIASA GDP","SSP2_v9_130219",27244.171659598,0.0170394856308942,"AR"
"37","ARG",2046,NA,NA,NA,27756.6552927674,0.0186360276263873,"AR"
"38","ARG",2047,NA,NA,NA,28269.1389259369,0.0182950704999172,"AR"
"39","ARG",2048,NA,NA,NA,28781.6225591063,0.0179663655716418,"AR"
"40","ARG",2049,NA,NA,NA,29294.1061922757,0.0176492640623334,"AR"
"41","ARG",2050,29806.5898254452,"IIASA GDP","SSP2_v9_130219",29806.5898254452,0.0173431622050249,"AR"
"42","ARG",2051,NA,NA,NA,30341.2033169573,0.0177771300603347,"AR"
"43","ARG",2052,NA,NA,NA,30875.8168084694,0.01746661572626,"AR"
"44","ARG",2053,NA,NA,NA,31410.4302999816,0.0171667629816543,"AR"
"45","ARG",2054,NA,NA,NA,31945.0437914937,0.0168770319787743,"AR"
"46","ARG",2055,32479.6572830058,"IIASA GDP","SSP2_v9_130219",32479.6572830058,0.0165969187125388,"AR"
"47","ARG",2056,NA,NA,NA,33026.9845007371,0.0167109758593824,"AR"
"48","ARG",2057,NA,NA,NA,33574.3117184684,0.0164363029113428,"AR"
"49","ARG",2058,NA,NA,NA,34121.6389361997,0.0161705135653598,"AR"
"50","ARG",2059,NA,NA,NA,34668.966153931,0.0159131836945274,"AR"
"51","ARG",2060,35216.2933716622,"IIASA GDP","SSP2_v9_130219",35216.2933716622,0.0156639157481493,"AR"
"52","ARG",2061,NA,NA,NA,35790.2583212109,0.0161668870593079,"AR"
"53","ARG",2062,NA,NA,NA,36364.2232707595,0.0159096716809657,"AR"
"54","ARG",2063,NA,NA,NA,36938.1882203082,0.0156605128893723,"AR"
"55","ARG",2064,NA,NA,NA,37512.1531698568,0.0154190379872094,"AR"
"56","ARG",2065,38086.1181194055,"IIASA GDP","SSP2_v9_130219",38086.1181194055,0.0151848969164643,"AR"
"57","ARG",2066,NA,NA,NA,38702.6672084857,0.0160586558584672,"AR"
"58","ARG",2067,NA,NA,NA,39319.216297566,0.0158048459090114,"AR"
"59","ARG",2068,NA,NA,NA,39935.7653866462,0.0155589343105138,"AR"
"60","ARG",2069,NA,NA,NA,40552.3144757265,0.0153205580195657,"AR"
"61","ARG",2070,41168.8635648067,"IIASA GDP","SSP2_v9_130219",41168.8635648067,0.0150893759068786,"AR"
"62","ARG",2071,NA,NA,NA,41824.0145380124,0.0157884531187804,"AR"
"63","ARG",2072,NA,NA,NA,42479.1655112182,0.0155430474246927,"AR"
"64","ARG",2073,NA,NA,NA,43134.3164844239,0.0153051539746656,"AR"
"65","ARG",2074,NA,NA,NA,43789.4674576296,0.015074433020331,"AR"
"66","ARG",2075,44444.6184308353,"IIASA GDP","SSP2_v9_130219",44444.6184308353,0.0148505649966921,"AR"
"67","ARG",2076,NA,NA,NA,45131.5858931144,0.01533846931566,"AR"
"68","ARG",2077,NA,NA,NA,45818.5533553936,0.0151067504136471,"AR"
"69","ARG",2078,NA,NA,NA,46505.5208176727,0.0148819286203636,"AR"
"70","ARG",2079,NA,NA,NA,47192.4882799518,0.0146637005075885,"AR"
"71","ARG",2080,47879.4557422309,"IIASA GDP","SSP2_v9_130219",47879.4557422309,0.0144517801886863,"AR"
"72","ARG",2081,NA,NA,NA,48585.3429451883,0.0146353864266047,"AR"
"73","ARG",2082,NA,NA,NA,49291.2301481456,0.0144242778327985,"AR"
"74","ARG",2083,NA,NA,NA,49997.117351103,0.0142191730249657,"AR"
"75","ARG",2084,NA,NA,NA,50703.0045540603,0.0140198194743473,"AR"
"76","ARG",2085,51408.8917570177,"IIASA GDP","SSP2_v9_130219",51408.8917570177,0.0138259786189465,"AR"
"77","ARG",2086,NA,NA,NA,52134.9619987379,0.0140246304586249,"AR"
"78","ARG",2087,NA,NA,NA,52861.0322404581,0.0138306574633233,"AR"
"79","ARG",2088,NA,NA,NA,53587.1024821783,0.0136419769858893,"AR"
"80","ARG",2089,NA,NA,NA,54313.1727238985,0.0134583753303055,"AR"
"81","ARG",2090,55039.2429656187,"IIASA GDP","SSP2_v9_130219",55039.2429656187,0.0132796501524695,"AR"
"82","ARG",2091,NA,NA,NA,55784.4026328728,0.0134478683330226,"AR"
"83","ARG",2092,NA,NA,NA,56529.5623001269,0.0132694202628922,"AR"
"84","ARG",2093,NA,NA,NA,57274.7219673811,0.0130956461145875,"AR"
"85","ARG",2094,NA,NA,NA,58019.8816346352,0.0129263646298821,"AR"
"86","ARG",2095,58765.0413018893,"IIASA GDP","SSP2_v9_130219",58765.0413018893,0.0127614038035073,"AR"
"87","ARG",2096,NA,NA,NA,59532.2736035215,0.0129714365871081,"AR"
"88","ARG",2097,NA,NA,NA,60299.5059051536,0.0128053307520695,"AR"
"89","ARG",2098,NA,NA,NA,61066.7382067858,0.0126434253245495,"AR"
"90","ARG",2099,NA,NA,NA,61833.9705084179,0.0124855629649012,"AR"
"91","ARG",2100,62601.20281005,"IIASA GDP","SSP2_v9_130219",62601.20281005,0.0123315940948778,"AR"
"92","ARM",2010,5158.23592465181,"IIASA GDP","SSP2_v9_130219",5158.23592465181,NA,"AM"
"93","ARM",2011,NA,NA,NA,5847.84635720127,0.125478803420553,"AM"
"94","ARM",2012,NA,NA,NA,6537.45678975072,0.111474770376896,"AM"
"95","ARM",2013,NA,NA,NA,7227.06722230018,0.100285094036515,"AM"
"96","ARM",2014,NA,NA,NA,7916.67765484963,0.0911383159852299,"AM"
"97","ARM",2015,8606.28808739909,"IIASA GDP","SSP2_v9_130219",8606.28808739909,0.0835214792435437,"AM"
"98","ARM",2016,NA,NA,NA,9508.24464089088,0.0996661701361603,"AM"
"99","ARM",2017,NA,NA,NA,10410.2011943827,0.0906269302978622,"AM"
"100","ARM",2018,NA,NA,NA,11312.1577478745,0.0830918447666846,"AM"
"101","ARM",2019,NA,NA,NA,12214.1143013663,0.0767141387458228,"AM"
"102","ARM",2020,13116.0708548581,"IIASA GDP","SSP2_v9_130219",13116.0708548581,0.0712460681548741,"AM"
"103","ARM",2021,NA,NA,NA,14234.2205362659,0.0818107012450593,"AM"
"104","ARM",2022,NA,NA,NA,15352.3702176737,0.0756209113052098,"AM"
"105","ARM",2023,NA,NA,NA,16470.5198990815,0.0703022364322905,"AM"
"106","ARM",2024,NA,NA,NA,17588.6695804893,0.0656828107768277,"AM"
"107","ARM",2025,18706.8192618972,"IIASA GDP","SSP2_v9_130219",18706.8192618972,0.0616332029005999,"AM"
"108","ARM",2026,NA,NA,NA,19632.546434289,0.0483005976411111,"AM"
"109","ARM",2027,NA,NA,NA,20558.2736066809,0.0460747470761316,"AM"
"110","ARM",2028,NA,NA,NA,21484.0007790728,0.0440450397913814,"AM"
"111","ARM",2029,NA,NA,NA,22409.7279514647,0.0421866398285751,"AM"
"112","ARM",2030,23335.4551238565,"IIASA GDP","SSP2_v9_130219",23335.4551238565,0.0404787349918632,"AM"
"113","ARM",2031,NA,NA,NA,23961.1934077384,0.0264616972166021,"AM"
"114","ARM",2032,NA,NA,NA,24586.9316916203,0.0257794893934431,"AM"
"115","ARM",2033,NA,NA,NA,25212.6699755022,0.025131575236486,"AM"
"116","ARM",2034,NA,NA,NA,25838.4082593841,0.024515432174903,"AM"
"117","ARM",2035,26464.146543266,"IIASA GDP","SSP2_v9_130219",26464.146543266,0.0239287791350851,"AM"
"118","ARM",2036,NA,NA,NA,26874.8805447092,0.0154011853068194,"AM"
"119","ARM",2037,NA,NA,NA,27285.6145461524,0.0151675820181048,"AM"
"120","ARM",2038,NA,NA,NA,27696.3485475957,0.0149409595096284,"AM"
"121","ARM",2039,NA,NA,NA,28107.0825490389,0.0147210094717849,"AM"
"122","ARM",2040,28517.8165504821,"IIASA GDP","SSP2_v9_130219",28517.8165504821,0.0145074414874067,"AM"
"123","ARM",2041,NA,NA,NA,28825.2621372746,0.0107231261314507,"AM"
"124","ARM",2042,NA,NA,NA,29132.7077240671,0.0106093595522445,"AM"
"125","ARM",2043,NA,NA,NA,29440.1533108597,0.0104979816565383,"AM"
"126","ARM",2044,NA,NA,NA,29747.5988976522,0.0103889179947743,"AM"
"127","ARM",2045,30055.0444844447,"IIASA GDP","SSP2_v9_130219",30055.0444844447,0.0102820971794841,"AM"
"128","ARM",2046,NA,NA,NA,30328.6962127244,0.00906381746328577,"AM"
"129","ARM",2047,NA,NA,NA,30602.347941004,0.0089824020582796,"AM"
"130","ARM",2048,NA,NA,NA,30875.9996692837,0.00890243626359144,"AM"
"131","ARM",2049,NA,NA,NA,31149.6513975633,0.00882388170488824,"AM"
"132","ARM",2050,31423.3031258429,"IIASA GDP","SSP2_v9_130219",31423.3031258429,0.00874670135046607,"AM"
"133","ARM",2051,NA,NA,NA,31716.0675252538,0.0092736590356246,"AM"
"134","ARM",2052,NA,NA,NA,32008.8319246648,0.00918844789768514,"AM"
"135","ARM",2053,NA,NA,NA,32301.5963240757,0.00910478844024531,"AM"
"136","ARM",2054,NA,NA,NA,32594.3607234866,0.0090226386616834,"AM"
"137","ARM",2055,32887.1251228975,"IIASA GDP","SSP2_v9_130219",32887.1251228975,0.0089419580627137,"AM"
"138","ARM",2056,NA,NA,NA,33227.6185778171,0.0103001674422067,"AM"
"139","ARM",2057,NA,NA,NA,33568.1120327366,0.0101951547225063,"AM"
"140","ARM",2058,NA,NA,NA,33908.6054876562,0.0100922616710353,"AM"
"141","ARM",2059,NA,NA,NA,34249.0989425757,0.00999142475065362,"AM"
"142","ARM",2060,34589.5923974953,"IIASA GDP","SSP2_v9_130219",34589.5923974953,0.00989258293850526,"AM"
"143","ARM",2061,NA,NA,NA,34986.0836855639,0.0113975343834074,"AM"
"144","ARM",2062,NA,NA,NA,35382.5749736325,0.0112690931322241,"AM"
"145","ARM",2063,NA,NA,NA,35779.0662617011,0.0111435145151884,"AM"
"146","ARM",2064,NA,NA,NA,36175.5575497698,0.0110207038846308,"AM"
"147","ARM",2065,36572.0488378384,"IIASA GDP","SSP2_v9_130219",36572.0488378384,0.0109005707199099,"AM"
"148","ARM",2066,NA,NA,NA,37030.6391088266,0.0124613983040849,"AM"
"149","ARM",2067,NA,NA,NA,37489.2293798147,0.0123080211893694,"AM"
"150","ARM",2068,NA,NA,NA,37947.8196508029,0.0121583738008439,"AM"
"151","ARM",2069,NA,NA,NA,38406.4099217911,0.012012321725523,"AM"
"152","ARM",2070,38865.0001927793,"IIASA GDP","SSP2_v9_130219",38865.0001927793,0.0118697369325229,"AM"
"153","ARM",2071,NA,NA,NA,39382.5777913394,0.0132294228304453,"AM"
"154","ARM",2072,NA,NA,NA,39900.1553898995,0.0130566878990734,"AM"
"155","ARM",2073,NA,NA,NA,40417.7329884596,0.0128884056491394,"AM"
"156","ARM",2074,NA,NA,NA,40935.3105870197,0.0127244061004017,"AM"
"157","ARM",2075,41452.8881855798,"IIASA GDP","SSP2_v9_130219",41452.8881855798,0.0125645278159681,"AM"
"158","ARM",2076,NA,NA,NA,42014.4314215708,0.0134556066026512,"AM"
"159","ARM",2077,NA,NA,NA,42575.9746575618,0.0132769544668125,"AM"
"160","ARM",2078,NA,NA,NA,43137.5178935529,0.0131029842198664,"AM"
"161","ARM",2079,NA,NA,NA,43699.061129544,0.0129335141941862,"AM"
"162","ARM",2080,44260.604365535,"IIASA GDP","SSP2_v9_130219",44260.604365535,0.0127683720010623,"AM"
"163","ARM",2081,NA,NA,NA,44851.9880541227,0.013272924836679,"AM"
"164","ARM",2082,NA,NA,NA,45443.3717427104,0.0130990594856559,"AM"
"165","ARM",2083,NA,NA,NA,46034.7554312981,0.0129296903126814,"AM"
