estimate,stderr,dof,t,p,min90,max90,x
.02813887,.0708628,100,.39708948,.69214772,-.08950998,.14578772,0
.04306017,.06532679,100,.65915025,.51131432,-.06539761,.15151794,1
.0564638,.06063644,100,.93118598,.35400002,-.0442069,.1571345,2
.06834978,.05673747,100,1.2046674,.23117507,-.02584771,.16254727,3
.07871809,.05354885,100,1.470024,.14469461,-.01018555,.16762173,4
.08756874,.05096434,100,1.7182357,.0888484,.002956,.17218149,5
.09490174,.04885825,100,1.9423893,.05490296,.0137856,.17601788,6
.10071707,.0470943,100,2.1386254,.03490153,.02252949,.17890464,7
.10501474,.04553531,100,2.3062267,.02316179,.02941546,.18061402,8
.10779475,.04405148,100,2.4470179,.01614871,.03465898,.18093052,9
.1090571,.04252618,100,2.56447,.01181985,.03845368,.17966052,10
.10880179,.04085898,100,2.6628611,.00903071,.04096631,.17663727,11
.10702882,.03896669,100,2.7466746,.00714107,.04233498,.17172265,12
.10373818,.03678328,100,2.8202538,.00578713,.04266932,.16480705,13
.09892989,.03425984,100,2.8876347,.00475773,.04205054,.15580925,14
.09260394,.03136572,100,2.9523932,.0039296,.04052949,.14467838,15
.08476032,.02809301,100,3.0171326,.00323639,.03811935,.1314013,16
.07539905,.02446873,100,3.0814449,.0026613,.03477522,.11602288,17
.06452011,.02058729,100,3.1339784,.00226351,.03034039,.09869983,18
.05212352,.01669903,100,3.121349,.00235375,.0243992,.07984783,19
.03820926,.01344756,100,2.8413535,.00544471,.01588317,.06053535,20
.02277734,.01223081,100,1.862292,.06549788,.00247133,.04308335,21
.00582776,.01441218,100,.40436381,.68680877,-.01809983,.02975535,22
-.01263948,.01950748,100,-.64792978,.51851526,-.04502646,.01974751,23
-.03262438,.02638564,100,-1.2364444,.21918959,-.07643072,.01118197,24
-.05412694,.03443216,100,-1.571988,.11911211,-.11129239,.00303851,25
-.07714716,.04338553,100,-1.7781772,.07841407,-.1491773,-.00511702,26
-.10168504,.0531301,100,-1.9138878,.05849372,-.18989345,-.01347663,27
-.12774058,.06361023,100,-2.0081767,.04732134,-.23334847,-.02213269,28
-.15531379,.07479714,100,-2.0764669,.04041518,-.27949457,-.03113301,29
-.18440465,.08667508,100,-2.1275394,.03583427,-.32830559,-.04050371,30
-.21501317,.09923512,100,-2.1667044,.03263263,-.37976673,-.05025962,31
-.24713936,.1124721,100,-2.1973392,.03030453,-.4338694,-.06040932,32
-.28078321,.12638303,100,-2.2216844,.02855903,-.49060865,-.07095776,33
-.31594471,.1409662,100,-2.2412799,.02721856,-.54998164,-.08190778,34
-.35262388,.15622072,100,-2.2572158,.02616939,-.61198689,-.09326087,35
