estimate,stderr,dof,t,p,min90,max90,x
.17239448,.0057239,100,30.118372,5.876e-52,.16289147,.18189749,0
.17156099,.00476956,100,35.96996,5.082e-59,.1636424,.17947958,1
.17080455,.0038777,100,44.047915,2.677e-67,.16436666,.17724244,2
.17012516,.00304884,100,55.799876,3.613e-77,.16506336,.17518696,3
.16952281,.00228474,100,74.198002,2.982e-89,.16572962,.17331601,4
.16899751,.00159071,100,106.24,1.21e-104,.16635656,.17163847,5
.16854926,.00098602,100,170.93942,3.49e-125,.16691224,.17018628,6
.16817806,.00056291,100,298.76535,2.21e-149,.16724349,.16911262,7
.1678839,.00060094,100,279.36797,1.80e-146,.16688619,.1688816,8
.16766678,.00096304,100,174.10241,5.62e-126,.16606792,.16926565,9
.16752672,.0013652,100,122.71214,7.41e-111,.16526016,.16979327,10
.1674637,.00174462,100,95.988691,2.80e-100,.16456722,.17036017,11
.16747772,.00208958,100,80.149122,1.510e-92,.16400854,.17094691,12
.16756879,.00239924,100,69.842339,1.129e-86,.16358549,.1715521,13
.16773691,.00267658,100,62.668347,4.523e-82,.16329316,.17218067,14
.16798208,.00292666,100,57.397289,2.338e-78,.16312315,.17284101,15
.16830429,.00315618,100,53.325374,2.913e-75,.1630643,.17354429,16
.16870355,.00337335,100,50.010714,1.418e-72,.163103,.1743041,17
.16917986,.00358775,100,47.154885,4.002e-70,.16322335,.17513636,18
.16973321,.00381011,100,44.548099,9.138e-68,.16340753,.17605889,19
.17036361,.00405194,100,42.044986,2.220e-65,.16363644,.17709077,20
.17107105,.00432492,100,39.554754,7.060e-63,.16389068,.17825143,21
.17185555,.00464025,100,37.03581,3.354e-60,.16415164,.17955945,22
.17271708,.00500796,100,34.488494,2.499e-57,.16440269,.18103147,23
.17365567,.00543637,100,31.943324,2.835e-54,.16463002,.18268132,24
.1746713,.00593184,100,29.446406,4.474e-51,.16482306,.18451954,25
.17576398,.00649882,100,27.045542,8.630e-48,.16497442,.18655353,26
.1769337,.00714006,100,24.780415,1.762e-44,.16507953,.18878788,27
.17818047,.00785701,100,22.677904,3.312e-41,.165136,.19122495,28
.17950429,.00865013,100,20.751634,5.077e-38,.16514305,.19386553,29
.18090516,.00951926,100,19.004128,5.759e-35,.16510096,.19670935,30
.18238307,.01046385,100,17.429828,4.498e-32,.16501063,.1997555,31
.18393802,.01148316,100,16.01807,2.306e-29,.16487329,.20300276,32
.18557003,.01257635,100,14.755473,7.559e-27,.16469034,.20644972,33
.18727908,.0137426,100,13.627631,1.569e-24,.16446314,.21009502,34
.18906518,.0149811,100,12.620249,2.072e-22,.16419304,.21393731,35
.19092832,.01629111,100,11.719788,1.765e-20,.16388126,.21797537,36
.19286851,.01767196,100,10.913816,9.919e-19,.16352892,.2222081,37
.19488574,.01912305,100,10.191144,3.774e-17,.163137,.22663449,38
.19698003,.02064385,100,9.5418267,1.001e-15,.1627064,.23125366,39
.19915136,.02223388,100,8.9571123,1.906e-14,.16223791,.23606481,40
