estimate,stderr,dof,t,p,min90,max90,x
.15495467,.01113931,100,13.910618,4.058e-25,.13646081,.17344853,0
.15803194,.00931748,100,16.960796,3.476e-31,.14256273,.17350115,1
.16082641,.00760099,100,21.158611,1.040e-38,.14820698,.17344584,2
.16333808,.00599012,100,27.26791,4.192e-48,.15339308,.17328308,3
.16556695,.00448595,100,36.907926,4.631e-60,.15811923,.17301467,4
.16751302,.00309197,100,54.176713,6.298e-76,.16237962,.17264642,5
.16917629,.00182213,100,92.84524,7.532e-99,.16615112,.17220145,6
.17055676,.00077598,100,219.79402,4.52e-136,.16926844,.17184507,7
.17165443,.00082169,100,208.90427,7.19e-134,.17029023,.17301862,8
.17246929,.00169652,100,101.66055,9.52e-103,.16965267,.17528592,9
.17300136,.00257297,100,67.237933,4.667e-85,.16872963,.1772731,10
.17325063,.00337346,100,51.356966,1.098e-73,.1676499,.17885137,11
.1732171,.00408747,100,42.377608,1.052e-65,.16643095,.18000326,12
.17290077,.0047139,100,36.678958,8.270e-60,.1650746,.18072694,13
.17230164,.00525449,100,32.791311,2.588e-55,.16357796,.18102533,14
.17141971,.00571255,100,30.007577,8.192e-52,.16193554,.18090388,15
.17025498,.00609267,100,27.944219,4.794e-49,.16013971,.18037024,16
.16880745,.00640089,100,26.372504,7.892e-47,.15818047,.17943442,17
.16707712,.0066449,100,25.143666,5.017e-45,.15604503,.17810921,18
.16506399,.00683447,100,24.15168,1.599e-43,.15371716,.17641081,19
.16276806,.00698189,100,23.31289,3.233e-42,.15117648,.17435963,20
.16018933,.00710243,100,22.55415,5.238e-41,.14839763,.17198103,21
.15732779,.00721476,100,21.806373,8.679e-40,.1453496,.16930599,22
.15418346,.00734106,100,21.002898,1.903e-38,.14199559,.16637134,23
.15075633,.00750661,100,20.083151,7.164e-37,.1382936,.16321906,24
.1470464,.00773864,100,19.001579,5.820e-35,.13419844,.15989436,25
.14305367,.00806431,100,17.739111,1.186e-32,.12966503,.15644232,26
.13877814,.00850814,100,16.311215,6.183e-30,.12465263,.15290365,27
.13421981,.00908969,100,14.766153,7.192e-27,.11912879,.14931083,28
.12937867,.00982218,100,13.172098,1.409e-23,.11307156,.14568579,29
.12425475,.01071243,100,11.599118,3.218e-20,.1064696,.14203989,30
.11884802,.01176204,100,10.104373,5.847e-17,.09932028,.13837576,31
.11315848,.01296894,100,8.7253466,6.105e-14,.09162701,.13468996,32
.10718616,.01432897,100,7.4803791,2.924e-11,.0833967,.13097561,33
.10093102,.01583711,100,6.3730684,5.739e-09,.07463769,.12722434,34
.09439309,.01748821,100,5.3975281,4.557e-07,.06535857,.12342761,35
.08757237,.01927743,100,4.5427405,.00001555,.05556731,.11957742,36
.08046883,.02120048,100,3.7956129,.00025263,.04527106,.1156666,37
.0730825,.02325362,100,3.1428447,.0022021,.03447605,.11168895,38
.06541336,.02543365,100,2.5719218,.01158419,.02318754,.10763918,39
.05746144,.02773788,100,2.0715869,.04087818,.01141005,.10351282,40
