estimate,stderr,dof,t,p,min90,max90,x
-.29399528,.08865793,88,-3.3160631,.0013278,-.44137615,-.14661442,0
-.2451318,.07485258,88,-3.2748609,.0015127,-.36956329,-.12070031,1
-.19920162,.06177587,88,-3.2245863,.00177097,-.30189498,-.09650825,2
-.15620473,.04942779,88,-3.1602613,.00216166,-.23837121,-.07403824,3
-.11614114,.03780895,88,-3.07179,.00283126,-.178993,-.05328929,4
-.07901086,.0269217,88,-2.9348396,.00425608,-.12376425,-.03425747,5
-.04481387,.01677522,88,-2.6714326,.0089976,-.07270022,-.01692751,6
-.01355019,.00742656,88,-1.8245587,.07146113,-.02589576,-.00120462,7
.01478021,.00223371,88,6.6168872,2.766e-09,.01106699,.01849342,8
.04017729,.00964978,88,4.163546,.00007286,.02413594,.05621863,9
.06264108,.01688109,88,3.710724,.00036152,.03457873,.09070344,10
.08217158,.0234352,88,3.5063314,.00071744,.04321398,.12112917,11
.09876877,.02928682,88,3.3724646,.00110889,.0500837,.14745384,12
.11243265,.03443277,88,3.2652808,.00155902,.0551932,.1696721,13
.12316325,.03887475,88,3.1682066,.00210939,.05853965,.18778685,14
.13096054,.0426167,88,3.0729861,.00282105,.06011649,.20180459,15
.13582454,.0456643,88,2.974414,.00378797,.0599143,.21173477,16
.13775523,.0480251,88,2.8684005,.00516349,.05792051,.21758995,17
.13675263,.04970903,88,2.7510618,.0072113,.05411861,.21938664,18
.13281672,.05072916,88,2.6181534,.01040802,.0484869,.21714655,19
.12594752,.05110288,88,2.4645876,.01566015,.04099645,.21089859,20
.11614503,.05085371,88,2.2839045,.0247842,.03160815,.2006819,21
.10340921,.05001407,88,2.0676022,.04161413,.02026811,.1865503,22
.08774012,.04862948,88,1.8042579,.07461209,.00690071,.16857953,23
.06913769,.0467652,88,1.4784005,.14287114,-.00860262,.14687801,24
.04760201,.04451671,88,1.0693066,.28785589,-.02640052,.12160455,25
.02313304,.04202585,88,.55044786,.58340684,-.0467288,.09299488,26
-.0042693,.03950443,88,-.10807135,.91418512,-.06993965,.06140105,27
-.03460487,.03726344,88,-.92865472,.35560834,-.09654989,.02734016,28
-.06787381,.03573279,88,-1.8994825,.06077663,-.12727436,-.00847326,29
-.10407597,.03543169,88,-2.9373698,.00422463,-.16297598,-.04517596,30
-.14321143,.03684436,88,-3.8869297,.00019643,-.2044598,-.08196306,31
-.18528028,.04024418,88,-4.6039022,.00001388,-.25218036,-.1183802,32
-.23028233,.04562181,88,-5.0476372,2.391e-06,-.30612193,-.15444274,33
-.2782178,.0527796,88,-5.2713135,9.560e-07,-.36595617,-.19047942,34
-.32908644,.06147146,88,-5.3534837,6.796e-07,-.43127377,-.22689912,35
-.38288838,.07148344,88,-5.3563231,6.716e-07,-.50171916,-.2640576,36
-.43962375,.08265417,88,-5.3188332,7.850e-07,-.57702425,-.30222326,37
-.49929229,.09486858,88,-5.2629889,9.895e-07,-.65699745,-.34158712,38
-.56189427,.10804606,88,-5.2005066,1.280e-06,-.74150508,-.38228345,39
-.62742939,.12212983,88,-5.1373969,1.659e-06,-.8304524,-.42440638,40
