estimate,stderr,dof,t,p,min90,max90,x
-.08535798,.0376471,88,-2.2673187,.02582033,-.1479408,-.02277517,0
-.07045149,.03165869,88,-2.2253441,.02861443,-.12307944,-.01782353,1
-.05649269,.02601894,88,-2.171214,.0326063,-.09974537,-.01324,2
-.04348158,.02072815,88,-2.0977069,.03879863,-.0779391,-.00902406,3
-.03141817,.01578855,88,-1.9899341,.04970252,-.05766432,-.00517201,4
-.02030245,.01120814,88,-1.8114028,.0734902,-.03893434,-.00167056,5
-.01013443,.00701694,88,-1.444281,.15221103,-.02179906,.0015302,6
-.0009141,.00338385,88,-.27013759,.78768691,-.00653926,.00471105,7
.00735853,.00208963,88,3.5214537,.00068254,.00388483,.01083223,8
.01468346,.00456826,88,3.2142333,.00182904,.00708939,.02227753,9
.02106071,.00739048,88,2.8497058,.00544915,.00877511,.03334631,10
.02649026,.01000284,88,2.6482743,.00958784,.009862,.04311851,11
.03097211,.012345,88,2.5088785,.01394336,.01045035,.05149387,12
.03450626,.01440978,88,2.3946412,.01875832,.0105521,.05846043,13
.03709273,.01620368,88,2.2891549,.02446393,.01015648,.06402897,14
.03873149,.01773986,88,2.1833028,.03167499,.00924156,.06822143,15
.03942257,.01903688,88,2.0708522,.04130193,.00777653,.0710686,16
.03916594,.02011883,88,1.9467304,.05475677,.00572132,.07261057,17
.03796163,.02101626,88,1.8062984,.07429024,.00302517,.07289809,18
.03580962,.02176727,88,1.6451133,.10351403,-.00037528,.07199452,19
.03270991,.0224188,88,1.4590393,.14811462,-.00455807,.06997789,20
.02866251,.02302759,88,1.2447033,.21654553,-.00961749,.06694251,21
.02366741,.02366039,88,1.0002965,.31990968,-.01566454,.06299936,22
.01772462,.02439288,88,.72663094,.46938053,-.02282498,.05827423,23
.01083413,.02530653,88,.42811586,.66961275,-.03123428,.05290254,24
.00299595,.0264834,88,.1131257,.91018858,-.04102883,.04702073,25
-.00578991,.02799953,88,-.20678615,.83665459,-.05233504,.04075521,26
-.0155235,.02991855,88,-.51885862,.60516172,-.06525873,.03421173,27
-.02620475,.0322874,88,-.81160939,.41920569,-.07987784,.02746833,28
-.03783373,.03513529,88,-1.0768015,.28451208,-.09624102,.02057355,29
-.05041038,.0384757,88,-1.3101872,.19354215,-.11437062,.01354987,30
-.06393471,.04231019,88,-1.5110948,.13434703,-.13426923,.00639981,31
-.07840678,.04663247,88,-1.6813774,.09623556,-.15592645,-.00088711,32
-.0938265,.0514319,88,-1.8242863,.07150267,-.17932452,-.00832849,33
-.11019396,.05669611,88,-1.9435893,.05514066,-.20444298,-.01594495,34
-.12750908,.06241256,88,-2.0430036,.04404363,-.23126084,-.02375731,35
-.14577188,.06856943,88,-2.125902,.03631255,-.25975855,-.03178522,36
-.16498243,.07515611,88,-2.1951965,.03078142,-.28991849,-.04004637,37
-.18514063,.08216321,88,-2.2533275,.02672379,-.32172497,-.04855628,38
-.20624657,.08958268,88,-2.302304,.0236778,-.3551647,-.05732843,39
-.22830015,.09740755,88,-2.3437624,.02134318,-.39022598,-.06637432,40
