estimate,stderr,dof,t,p,min90,max90,x
-.04800502,.02886363,100,-1.6631664,.09941027,-.09592541,-.00008463,0
-.03621264,.02434362,100,-1.4875618,.14001302,-.07662874,.00420347,1
-.02522204,.02005492,100,-1.2576483,.21144797,-.05851791,.00807383,2
-.01503324,.01599764,100,-.93971572,.34962775,-.04159307,.0115266,3
-.00564622,.0121724,100,-.46385464,.64376003,-.02585526,.01456281,4
.002939,.00858142,100,.34248403,.73270547,-.01130817,.01718617,5
.01072243,.00523342,100,2.0488403,.04309699,.00203374,.01941113,6
.01770407,.00218762,100,8.0928654,1.434e-12,.01407212,.02133603,7
.02388393,.00123994,100,19.262226,1.990e-35,.02182534,.02594251,8
.02926199,.00369874,100,7.9113447,3.524e-12,.02312122,.03540276,9
.03383826,.0061305,100,5.5196609,2.683e-07,.0236602,.04401632,10
.03761275,.0083632,100,4.4974122,.00001857,.02372788,.05149761,11
.04058544,.01038222,100,3.909128,.00016876,.02334852,.05782236,12
.04275634,.01218548,100,3.5087928,.00067626,.02252558,.0629871,13
.04412545,.01377393,100,3.2035478,.0018215,.0212575,.06699341,14
.04469277,.01514987,100,2.9500425,.00395717,.01954043,.06984512,15
.04445831,.01631662,100,2.7247251,.00759758,.01736889,.07154772,16
.04342205,.01727848,100,2.5130702,.01356629,.01473571,.07210838,17
.041584,.01804096,100,2.3049776,.0232345,.01163178,.07153621,18
.03894416,.01861099,100,2.0925357,.03892237,.00804556,.06984276,19
.03550253,.01899742,100,1.8688076,.06457636,.00396235,.0670427,20
.03125911,.01921156,100,1.6270989,.10686315,-.00063658,.06315481,21
.0262139,.01926797,100,1.3604906,.17673346,-.00577545,.05820325,22
.0203669,.01918553,100,1.0615762,.29098519,-.01148557,.05221938,23
.0137181,.01898881,100,.72243085,.47171573,-.01780777,.04524398,24
.00626753,.01870985,100,.33498552,.73833767,-.02479521,.03733027,25
-.00198483,.01839019,100,-.10792882,.91426841,-.03251686,.0285472,26
-.011039,.01808289,100,-.61046679,.54293757,-.04106084,.01898283,27
-.02089495,.01785384,100,-1.1703332,.24464847,-.05053651,.00874662,28
-.0315527,.01778094,100,-1.7745235,.07901976,-.06107324,-.00203217,29
-.04301222,.01794952,100,-2.3962885,.01842093,-.07281263,-.01321182,30
-.05527353,.0184431,100,-2.9969763,.00343905,-.0858934,-.02465367,31
-.06833666,.01933132,100,-3.5350238,.00061933,-.10043118,-.03624215,32
-.08220155,.02065965,100,-3.9788453,.00013123,-.11650141,-.04790169,33
-.09686826,.02244602,100,-4.3156101,.00003747,-.13413391,-.05960261,34
-.11233673,.02468501,100,-4.5508075,.00001506,-.15331963,-.07135383,35
-.12860699,.0273564,100,-4.7011658,8.290e-06,-.17402503,-.08318895,36
-.14567907,.0304335,100,-4.7868,5.871e-06,-.19620581,-.09515233,37
-.16355291,.03388893,100,-4.8261456,5.004e-06,-.21981647,-.10728935,38
-.18222858,.03769782,100,-4.8339292,4.848e-06,-.24481579,-.11964137,39
-.20170599,.04183888,100,-4.8210182,5.110e-06,-.27116833,-.13224365,40
