estimate,stderr,dof,t,p,min90,max90,x
.00384914,.01185661,100,.32464106,.74613088,-.01583561,.02353389,0
.00642729,.00996395,100,.64505452,.52036904,-.0101152,.02296979,1
.00882068,.00820956,100,1.0744402,.28521115,-.00480911,.02245047,2
.0110293,.00659421,100,1.6725734,.09753725,.00008137,.02197724,3
.01305316,.00512212,100,2.5483901,.01234312,.00454924,.02155708,4
.01489225,.00380661,100,3.9122081,.00016691,.00857239,.02121212,5
.01654658,.00268748,100,6.1569034,1.553e-08,.01208473,.02100844,6
.01801615,.00188412,100,9.5620855,9.034e-16,.01488806,.02114423,7
.01930095,.0016522,100,11.681993,2.130e-20,.01655792,.02204398,8
.02040099,.00203961,100,10.002403,9.782e-17,.01701476,.02378721,9
.02131626,.00271645,100,7.8471056,4.838e-12,.01680632,.0258262,10
.02204677,.00347361,100,6.3469385,6.478e-09,.01627977,.02781377,11
.02259251,.00424735,100,5.319204,6.381e-07,.01554092,.02964411,12
.02295349,.00502604,100,4.5669149,.00001414,.01460909,.03129789,13
.02312971,.00581633,100,3.9766861,.00013227,.01347324,.03278618,14
.02312116,.00663224,100,3.4861748,.00072928,.01211008,.03413224,15
.02292785,.00749089,100,3.0607642,.00283498,.01049122,.03536448,16
.02254977,.00841023,100,2.6812327,.00858143,.00858683,.03651272,17
.02198693,.00940768,100,2.3371264,.02142611,.00636798,.03760588,18
.02123933,.01049923,100,2.022941,.04574835,.00380814,.03867051,19
.02030696,.01169888,100,1.7358043,.08567862,.00088408,.03972983,20
.01918983,.01301836,100,1.4740589,.14360688,-.0024237,.04080335,21
.01788793,.01446721,100,1.2364459,.21918904,-.00613104,.0419069,22
.01640127,.01605292,100,1.0217,.30938827,-.01025034,.04305288,23
.01472984,.0177812,100,.82839399,.40942018,-.01479112,.04425081,24
.01287365,.01965631,100,.65493741,.51401175,-.01976043,.04550774,25
.0108327,.02168135,100,.49963226,.6184316,-.02516342,.04682883,26
.00860698,.02385853,100,.36075071,.71904675,-.03100377,.04821773,27
.0061965,.02618937,100,.23660375,.81344819,-.03728398,.04967699,28
.00360125,.0286749,100,.12558903,.90030939,-.04400579,.0512083,29
.00082124,.03131577,100,.02622464,.97913043,-.05117027,.05281276,30
-.00214353,.03411239,100,-.06283718,.95002159,-.05877809,.05449104,31
-.00529307,.03706499,100,-.14280511,.88673145,-.06682963,.05624349,32
-.00862737,.04017362,100,-.21475207,.83039796,-.075325,.05807026,33
-.01214644,.04343831,100,-.27962506,.78034273,-.08426422,.05997134,34
-.01585027,.04685898,100,-.33825467,.73588041,-.09364715,.06194662,35
-.01973886,.05043553,100,-.39136816,.6963578,-.10347365,.06399593,36
-.02381222,.05416785,100,-.43960074,.66117486,-.11374354,.06611909,37
-.02807034,.05805578,100,-.48350647,.6297932,-.12445654,.06831585,38
-.03251324,.0620992,100,-.52356933,.60173649,-.13561247,.07058599,39
-.03714089,.06629796,100,-.56021159,.576588,-.14721103,.07292926,40
