eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.04257443,.03400239,89,1.252101,.21381357,-.01394283,.09909169,0
"prec",.03949971,.03240112,89,1.2190845,.22603335,-.01435599,.0933554,1
"prec",.03642498,.03080351,89,1.1824945,.24015902,-.01477524,.0876252,2
"prec",.03335026,.02921015,89,1.1417351,.2566267,-.01520156,.08190207,3
"prec",.03027554,.02762179,89,1.0960742,.27600337,-.01563618,.07618725,4
"prec",.02720081,.02603934,89,1.0446045,.29903479,-.01608062,.07048224,5
"prec",.02412609,.02446394,89,.98618967,.32671354,-.01653679,.06478896,6
"prec",.02105137,.02289706,89,.91939177,.36037583,-.0170071,.05910983,7
"prec",.01797664,.02134056,89,.8423699,.40183893,-.01749468,.05344796,8
"prec",.01490192,.01979689,89,.7527404,.45359237,-.01800359,.04780743,9
"prec",.0118272,.01826932,89,.64738035,.51905219,-.01853924,.04219364,10
"prec",.00875247,.01676223,89,.52215443,.60286004,-.01910896,.0366139,11
"prec",.00567775,.01528169,89,.37153917,.71111904,-.0197228,.0310783,12
"prec",.00260303,.01383624,89,.18813113,.85120214,-.02039495,.025601,13
"prec",-.0004717,.0124381,89,-.03792356,.96983356,-.02114574,.02020235,14
"prec",-.00354642,.01110515,89,-.31934918,.75021012,-.02200491,.01491207,15
"prec",-.00662114,.00986387,89,-.67125203,.50379848,-.02301643,.00977414,16
"prec",-.00969587,.00875334,89,-1.1076759,.27098645,-.02424529,.00485355,17
"prec",-.01277059,.0078294,89,-1.6311064,.10640174,-.02578427,.00024309,18
"prec",-.01584531,.0071646,89,-2.2116122,.02955489,-.02775399,-.00393664,19
"prec",-.01892004,.00683497,89,-2.7681223,.00685894,-.03028082,-.00755925,20
"prec",-.02199476,.00688881,89,-3.1928262,.0019481,-.03344502,-.01054449,21
"prec",-.02506949,.00731764,89,-3.4258967,.00092914,-.03723254,-.01290643,22
"prec",-.02814421,.00806186,89,-3.4910323,.00075096,-.04154427,-.01474415,23
"prec",-.03121893,.00904393,89,-3.4519208,.00085363,-.04625135,-.01618652,24
"prec",-.03429365,.01019535,89,-3.3636554,.00113601,-.05123991,-.01734739,25
"prec",-.03736837,.01146522,89,-3.2592821,.00158285,-.05642535,-.0183114,26
"prec",-.0404431,.01281837,89,-3.1550888,.00218911,-.06174923,-.01913698,27
"prec",-.04351782,.01423107,89,-3.0579435,.0029433,-.06717208,-.01986357,28
"prec",-.04659255,.01568725,89,-2.9700901,.00382642,-.0726672,-.0205179,29
"prec",-.04966727,.01717584,89,-2.8916935,.00481504,-.07821619,-.02111835,30
"prec",-.05274199,.01868911,89,-2.8220714,.00588475,-.08380619,-.02167779,31
"prec",-.05581672,.02022151,89,-2.7602649,.00701252,-.08942801,-.02220543,32
"prec",-.05889144,.021769,89,-2.7052891,.00817797,-.0950749,-.02270798,33
"prec",-.06196617,.02332859,89,-2.6562332,.00936393,-.1007419,-.02319043,34
"prec",-.06504089,.02489799,89,-2.6122949,.01055639,-.10642521,-.02365656,35
"prec",-.06811561,.02647546,89,-2.5727826,.01174426,-.11212194,-.02410928,36
"prec",-.07119034,.02805965,89,-2.5371069,.01291897,-.11782983,-.02455084,37
"prec",-.07426506,.02964947,89,-2.5047683,.01407402,-.12354708,-.02498303,38
"prec",-.07733978,.03124407,89,-2.4753427,.01520468,-.12927228,-.02540728,39
"prec",-.0804145,.03284275,89,-2.4484707,.01630755,-.13500425,-.02582476,40
