eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.03218669,.01887406,100,1.7053405,.0912355,.00085134,.06352205,0
"prec",.02935869,.01782839,100,1.6467387,.10275094,-.0002406,.05895799,1
"prec",.02653069,.01678712,100,1.5804193,.11716885,-.00133986,.05440125,2
"prec",.02370269,.01575114,100,1.5048237,.13552145,-.00244789,.04985328,3
"prec",.02087469,.01472156,100,1.4179675,.15930894,-.00356655,.04531593,4
"prec",.01804669,.01369982,100,1.3172944,.19075033,-.00469821,.0407916,5
"prec",.01521869,.01268781,100,1.1994737,.23317812,-.00584604,.03628343,6
"prec",.01239069,.01168806,100,1.0601152,.29164601,-.00701423,.03179562,7
"prec",.00956269,.01070402,100,.89337421,.37380178,-.00820848,.02733387,8
"prec",.00673469,.00974043,100,.69141644,.49090595,-.0094367,.02290609,9
"prec",.00390669,.00880402,100,.44373955,.65818956,-.01071005,.01852343,10
"prec",.00107869,.00790446,100,.13646625,.89172707,-.01204456,.01420194,11
"prec",-.00174931,.00705584,100,-.24792345,.804702,-.01346366,.00996504,12
"prec",-.00457731,.00627887,100,-.72900113,.46770491,-.01500171,.0058471,13
"prec",-.00740531,.00560343,100,-1.3215671,.18932792,-.01670831,.0018977,14
"prec",-.01023331,.00507025,100,-2.0183057,.04623731,-.01865111,-.00181551,15
"prec",-.01306131,.00472771,100,-2.7627148,.00682342,-.02091041,-.00521221,16
"prec",-.01588931,.00461843,100,-3.4404152,.00084875,-.02355698,-.00822164,17
"prec",-.01871731,.0047585,100,-3.9334435,.00015464,-.02661754,-.01081708,18
"prec",-.02154531,.00512754,100,-4.201879,.00005762,-.03005823,-.01303239,19
"prec",-.02437331,.00568109,100,-4.290249,.00004127,-.03380526,-.01494136,20
"prec",-.02720131,.00637125,100,-4.2693841,.00004467,-.03777907,-.01662354,21
"prec",-.03002931,.00715861,100,-4.1948547,.00005916,-.04191427,-.01814435,22
"prec",-.03285731,.00801457,100,-4.0996989,.0000843,-.04616337,-.01955125,23
"prec",-.03568531,.0089194,100,-4.0008627,.00012114,-.05049361,-.02087701,24
"prec",-.03851331,.00985967,100,-3.9061463,.00017057,-.05488267,-.02214395,25
"prec",-.04134131,.01082613,100,-3.818658,.0002329,-.05931523,-.02336739,26
"prec",-.04416931,.01181238,100,-3.7392404,.00030779,-.06378062,-.024558,27
"prec",-.04699731,.01281382,100,-3.6677046,.00039436,-.06827125,-.02572336,28
"prec",-.04982531,.01382717,100,-3.6034349,.00049141,-.07278166,-.02686897,29
"prec",-.05265331,.01484999,100,-3.5456804,.00059753,-.07730777,-.02799885,30
"prec",-.05548131,.01588044,100,-3.4936881,.00071125,-.08184656,-.02911605,31
"prec",-.05830931,.01691714,100,-3.4467596,.00083115,-.08639573,-.0302229,32
"prec",-.06113731,.017959,100,-3.4042721,.0009559,-.09095345,-.03132117,33
"prec",-.06396531,.01900517,100,-3.36568,.00108426,-.09551834,-.03241228,34
"prec",-.06679331,.02005497,100,-3.3305109,.00121518,-.10008927,-.03349735,35
"prec",-.06962131,.02110788,100,-3.2983569,.00134771,-.10466533,-.03457729,36
"prec",-.07244931,.02216343,100,-3.2688668,.00148104,-.10924581,-.03565282,37
"prec",-.07527731,.02322128,100,-3.241738,.0016145,-.11383008,-.03672454,38
"prec",-.07810531,.02428112,100,-3.2167093,.00174752,-.11841767,-.03779296,39
"prec",-.08093331,.0253427,100,-3.1935546,.00187962,-.12300814,-.03885848,40
